gross_loss_jpy,gross_profit_jpy,maximum_consecutive_losses,minimum_realized_equity_jpy,modified_trades,net_jpy,period,profit_factor,realized_drawdown_jpy,source,trades
-8542,13911,,,13,5369,2024-03,1.628541325216577,,RAKUTEN_COMMON_CONTRACT_REPLAY,91
-11125,15049,,,14,3924,2024-04,1.3527191011235955,,RAKUTEN_COMMON_CONTRACT_REPLAY,85
-11182,16458,,,8,5276,2024-05,1.471829726345913,,RAKUTEN_COMMON_CONTRACT_REPLAY,98
-11171,12712,,,12,1541,2024-06,1.1379464685345986,,RAKUTEN_COMMON_CONTRACT_REPLAY,70
-10427,19236,,,24,8809,2024-07,1.8448259326747867,,RAKUTEN_COMMON_CONTRACT_REPLAY,101
-16275,21964,,,19,5689,2024-08,1.3495545314900153,,RAKUTEN_COMMON_CONTRACT_REPLAY,80
-28366,17820,,,25,-10546,2024-09,0.6282168793626172,,RAKUTEN_COMMON_CONTRACT_REPLAY,111
-16613,27662,,,11,11049,2024-10,1.665081562631674,,RAKUTEN_COMMON_CONTRACT_REPLAY,111
-17969,29669,,,28,11700,2024-11,1.6511213757025989,,RAKUTEN_COMMON_CONTRACT_REPLAY,133
-12175,18597,,,6,6422,2024-12,1.5274743326488707,,RAKUTEN_COMMON_CONTRACT_REPLAY,85
-17461,7088,,,21,-10373,2025-01,0.4059332226103889,,RAKUTEN_KNOWN_OUTCOME_VALIDATION_REASSESSMENT,88
-13929,16842,,,15,2913,2025-02,1.2091320267068706,,RAKUTEN_KNOWN_OUTCOME_VALIDATION_REASSESSMENT,100
-17791,9122,,,21,-8669,2025-03,0.5127311562025744,,RAKUTEN_KNOWN_OUTCOME_VALIDATION_REASSESSMENT,96
-27373,21780,,,25,-5593,2025-04,0.7956745698315859,,RAKUTEN_KNOWN_OUTCOME_VALIDATION_REASSESSMENT,97
-14033,34607,,,16,20574,2025-05,2.466115584693223,,RAKUTEN_KNOWN_OUTCOME_VALIDATION_REASSESSMENT,123
-16866,18623,,,15,1757,2025-06,1.1041740780267995,,RAKUTEN_KNOWN_OUTCOME_VALIDATION_REASSESSMENT,105
