portfolio_id,period,trades,net_jpy,gross_profit_jpy,gross_loss_jpy,profit_factor,win_rate,average_trade_jpy,median_trade_jpy,realized_drawdown_jpy,minimum_realized_equity_jpy,maximum_consecutive_losses,longest_realized_underwater_hours,top_1_winner_removal_net_jpy,top_3_winner_removal_net_jpy,top_5_winner_removal_net_jpy,modified_trades
P4_B02_C3_F05_C2_SP39,2022H1,560,24148.000000000124,82258.0,-58109.99999999986,1.4155567028050282,0.43214285714285716,43.121428571428794,-16.000000000005343,5863.999999999985,97339.00000000007,11,935.7494341666667,22221.00000000013,18871.00000000011,16084.000000000073,89
P4_B02_C3_F05_C2_SP39,2022H2,600,-23825.000000000044,110422.99999999975,-134247.99999999977,0.8225299445801796,0.38166666666666665,-39.70833333333341,-39.99999999999204,37382.00000000009,71772.00000000006,18,2738.249943888889,-26656.000000000062,-30416.00000000005,-33796.000000000015,128
A2_B02_EARLY_C3_F05_C2_SP39,2020H1,598,16973.999999999818,74874.99999999991,-57901.0000000001,1.2931555586259267,0.44816053511705684,28.38461538461508,-13.500000000000512,8659.000000000131,97517.00000000001,15,2222.000301666667,14926.999999999822,11995.999999999824,9502.999999999829,61
A2_B02_EARLY_C3_F05_C2_SP39,2020H2,672,571.0000000001837,49929.99999999993,-49358.99999999975,1.0115683056788058,0.40773809523809523,0.8497023809526544,-13.999999999995794,7838.999999999971,98023.0000000001,20,1794.498935277778,-1227.9999999998086,-4548.999999999807,-6445.999999999798,69
A2_B02_EARLY_C3_F05_C2_SP39,2021H1,596,-4569.999999999837,40639.00000000007,-45208.999999999905,0.8989139330664283,0.4211409395973154,-7.667785234899056,-16.000000000005343,9767.99999999997,95055.00000000016,12,2730.0084608333336,-5260.999999999825,-6424.999999999827,-7552.999999999827,59
A2_B02_EARLY_C3_F05_C2_SP39,2021H2,646,1124.0000000004502,51284.00000000007,-50159.99999999963,1.022408293460934,0.44427244582043346,1.739938080496053,-8.500000000005059,7878.999999999913,99900.0000000006,11,1432.4981083333334,-58.99999999955662,-1795.9999999995657,-3319.999999999566,68
A2_B02_EARLY_C3_F05_C2_SP39,2022H1,560,26997.000000000142,84881.00000000001,-57883.99999999987,1.466398313869121,0.44642857142857145,48.20892857142883,-15.000000000000568,6021.0,97339.00000000007,11,658.7501669444443,25070.00000000015,21720.000000000127,18933.00000000009,73
A2_B02_EARLY_C3_F05_C2_SP39,2022H2,600,-21775.000000000065,114063.99999999971,-135838.99999999977,0.8396999388982539,0.395,-36.29166666666678,-36.000000000001364,37934.00000000003,71475.00000000012,18,2737.5000041666667,-24606.000000000084,-28366.000000000073,-31746.00000000004,110
A4_B02_C3_F05_C2_CAP2_SP39,2020H1,589,16562.999999999854,73403.0,-56840.00000000015,1.2913969035890183,0.4312393887945671,28.12054329371792,-13.999999999995794,8614.000000000102,97789.00000000004,14,2216.0001108333336,14515.999999999858,11584.99999999986,9091.999999999865,78
A4_B02_C3_F05_C2_CAP2_SP39,2020H2,666,1181.0000000001835,49411.99999999993,-48230.99999999975,1.0244863262217283,0.4009009009009009,1.7732732732735488,-13.999999999995794,7775.999999999971,97863.00000000032,20,1794.498935277778,-617.9999999998088,-3938.999999999807,-5835.999999999798,83
A4_B02_C3_F05_C2_CAP2_SP39,2021H1,593,-4627.999999999815,39034.00000000007,-43661.99999999989,0.894003939352301,0.3996627318718381,-7.804384485665794,-18.000000000000682,10650.99999999997,94997.00000000017,12,2730.0084608333336,-5318.999999999804,-6482.999999999805,-7610.999999999805,76
A4_B02_C3_F05_C2_CAP2_SP39,2021H2,641,2605.000000000415,50302.000000000065,-47696.99999999965,1.0546155942721855,0.43369734789391573,4.063962558502988,-8.000000000009777,7524.999999999913,100000.0,11,1342.501426111111,1422.0000000004084,-314.99999999960073,-1838.9999999996012,83
A4_B02_C3_F05_C2_CAP2_SP39,2022H1,549,24176.000000000142,81166.0,-56989.99999999987,1.4242147745218492,0.4335154826958106,44.0364298724957,-15.999999999991132,5863.999999999985,97716.00000000006,11,935.7494341666667,22249.00000000015,18899.000000000127,16112.000000000091,86
A4_B02_C3_F05_C2_CAP2_SP39,2022H2,587,-23072.00000000003,109701.99999999977,-132773.9999999998,0.8262310392094833,0.3850085178875639,-39.3049403747871,-39.99999999999204,37592.00000000007,72525.0000000001,18,2738.249943888889,-25903.000000000047,-29663.000000000036,-33043.0,122
B0_A2_EARLY_C3_PLUS_A4_SESSION_LOSS_CAP_2,2020H1,589,16753.99999999985,74351.99999999994,-57598.0000000001,1.2908781554915068,0.4465195246179966,28.444821731748473,-13.999999999995794,8545.000000000102,97517.00000000001,14,2222.000301666667,14706.999999999854,11775.999999999856,9282.999999999862,59
B0_A2_EARLY_C3_PLUS_A4_SESSION_LOSS_CAP_2,2020H2,666,1132.000000000176,49878.99999999993,-48746.99999999975,1.0232219418630928,0.4099099099099099,1.699699699699964,-13.999999999995794,7684.999999999971,98038.0000000001,20,1794.498935277778,-666.9999999998163,-3987.999999999815,-5884.999999999805,69
B0_A2_EARLY_C3_PLUS_A4_SESSION_LOSS_CAP_2,2021H1,593,-3381.9999999998477,40530.00000000006,-43911.99999999991,0.9229823282929527,0.42158516020236086,-5.703204047217281,-16.000000000005343,9876.999999999985,96243.00000000013,12,2730.0084608333336,-4072.999999999836,-5236.999999999837,-6364.999999999838,59
B0_A2_EARLY_C3_PLUS_A4_SESSION_LOSS_CAP_2,2021H2,641,2192.000000000433,51047.00000000007,-48854.999999999636,1.0448674649473022,0.44617784711388453,3.4196567862721263,-7.999999999995566,7878.999999999913,100000.0,11,1342.501426111111,1009.0000000004261,-727.999999999583,-2251.9999999995835,68
B0_A2_EARLY_C3_PLUS_A4_SESSION_LOSS_CAP_2,2022H1,549,27025.000000000156,83789.00000000004,-56763.99999999988,1.4760940032414949,0.44808743169398907,49.225865209472055,-14.000000000010004,6021.0,97716.00000000006,11,658.7501669444443,25098.000000000164,21748.000000000142,18961.000000000106,70
B0_A2_EARLY_C3_PLUS_A4_SESSION_LOSS_CAP_2,2022H2,587,-21022.000000000044,113342.99999999974,-134364.9999999998,0.8435455661816686,0.3986371379897785,-35.81260647359462,-33.999999999991815,38144.00000000007,72228.0000000001,18,2737.5000041666667,-23853.000000000062,-27613.00000000005,-30993.00000000002,104
