trade_id,strategy,entry_utc,session_key,prior_session_loss_count,decision,source_pnl_jpy
B02|2020-08-21T12:15:00.235000+00:00|1,B02,2020-08-21T12:15:00.235000+00:00,2020-08-21|LONDON,1,ACCEPT,-97.00000000000841
F05|2020-08-24T19:45:07.024000+00:00|1,F05,2020-08-24T19:45:07.024000+00:00,2020-08-24|NEW_YORK,0,ACCEPT,-39.00000000000148
F05|2020-08-25T00:15:00.744000+00:00|1,F05,2020-08-25T00:15:00.744000+00:00,2020-08-25|ASIA,0,ACCEPT,219.99999999999886
F05|2020-08-25T07:00:00.100000+00:00|1,F05,2020-08-25T07:00:00.100000+00:00,2020-08-25|LONDON,0,ACCEPT,403.0000000000058
B02|2020-08-25T07:30:00.188000+00:00|1,B02,2020-08-25T07:30:00.188000+00:00,2020-08-25|LONDON,0,ACCEPT,178.99999999998784
F05|2020-08-25T07:30:00.188000+00:00|1,F05,2020-08-25T07:30:00.188000+00:00,2020-08-25|LONDON,0,ACCEPT,335.9999999999985
F05|2020-08-25T08:15:01.231000+00:00|1,F05,2020-08-25T08:15:01.231000+00:00,2020-08-25|LONDON,0,ACCEPT,166.00000000001103
F05|2020-08-25T10:30:00.282000+00:00|1,F05,2020-08-25T10:30:00.282000+00:00,2020-08-25|LONDON,0,ACCEPT,-53.00000000001148
F05|2020-08-25T15:00:00.059000+00:00|1,F05,2020-08-25T15:00:00.059000+00:00,2020-08-25|LONDON_NY_OVERLAP,0,ACCEPT,-171.99999999999704
B02|2020-08-26T07:30:00.079000+00:00|-1,B02,2020-08-26T07:30:00.079000+00:00,2020-08-26|LONDON,0,ACCEPT,-34.99999999999659
F05|2020-08-26T08:30:00.239000+00:00|-1,F05,2020-08-26T08:30:00.239000+00:00,2020-08-26|LONDON,1,ACCEPT,183.9999999999975
F05|2020-08-26T14:45:03.146000+00:00|-1,F05,2020-08-26T14:45:03.146000+00:00,2020-08-26|LONDON_NY_OVERLAP,0,ACCEPT,287.00000000000614
F05|2020-08-26T15:45:02.036000+00:00|-1,F05,2020-08-26T15:45:02.036000+00:00,2020-08-26|LONDON_NY_OVERLAP,0,ACCEPT,180.00000000000682
F05|2020-08-26T16:30:00.076000+00:00|-1,F05,2020-08-26T16:30:00.076000+00:00,2020-08-26|NEW_YORK,0,ACCEPT,199.00000000001228
F05|2020-08-26T17:45:02.606000+00:00|-1,F05,2020-08-26T17:45:02.606000+00:00,2020-08-26|NEW_YORK,0,ACCEPT,21.000000000000796
B02|2020-08-27T11:00:03.037000+00:00|1,B02,2020-08-27T11:00:03.037000+00:00,2020-08-27|LONDON,0,ACCEPT,-24.999999999991473
F05|2020-08-27T13:15:00.112000+00:00|-1,F05,2020-08-27T13:15:00.112000+00:00,2020-08-27|LONDON_NY_OVERLAP,0,ACCEPT,-796.999999999997
F05|2020-08-27T14:15:00.027000+00:00|1,F05,2020-08-27T14:15:00.027000+00:00,2020-08-27|LONDON_NY_OVERLAP,0,ACCEPT,195.99999999999795
F05|2020-08-27T15:00:00.095000+00:00|1,F05,2020-08-27T15:00:00.095000+00:00,2020-08-27|LONDON_NY_OVERLAP,0,ACCEPT,167.99999999999216
F05|2020-08-27T15:30:00.083000+00:00|1,F05,2020-08-27T15:30:00.083000+00:00,2020-08-27|LONDON_NY_OVERLAP,0,ACCEPT,112.00000000000898
F05|2020-08-27T17:00:00.049000+00:00|1,F05,2020-08-27T17:00:00.049000+00:00,2020-08-27|NEW_YORK,0,ACCEPT,-31.999999999996476
F05|2020-08-28T00:15:00.397000+00:00|1,F05,2020-08-28T00:15:00.397000+00:00,2020-08-28|ASIA,0,ACCEPT,-689.9999999999977
F05|2020-08-28T03:15:00.380000+00:00|1,F05,2020-08-28T03:15:00.380000+00:00,2020-08-28|ASIA,1,ACCEPT,-1498.0000000000045
B02|2020-08-28T07:15:01.442000+00:00|-1,B02,2020-08-28T07:15:01.442000+00:00,2020-08-28|LONDON,0,ACCEPT,634.0000000000003
F05|2020-08-28T09:30:00.223000+00:00|-1,F05,2020-08-28T09:30:00.223000+00:00,2020-08-28|LONDON,1,ACCEPT,180.99999999999739
F05|2020-08-28T10:45:00.451000+00:00|-1,F05,2020-08-28T10:45:00.451000+00:00,2020-08-28|LONDON,1,ACCEPT,17.000000000010118
F05|2020-08-28T12:15:00.062000+00:00|-1,F05,2020-08-28T12:15:00.062000+00:00,2020-08-28|LONDON,2,BLOCK,-129.99999999999545
B02|2020-08-31T07:15:00.012000+00:00|1,B02,2020-08-31T07:15:00.012000+00:00,2020-08-31|LONDON,0,ACCEPT,174.99999999999716
F05|2020-08-31T09:45:00.009000+00:00|1,F05,2020-08-31T09:45:00.009000+00:00,2020-08-31|LONDON,0,ACCEPT,-74.99999999998863
F05|2020-08-31T13:00:00.086000+00:00|1,F05,2020-08-31T13:00:00.086000+00:00,2020-08-31|LONDON_NY_OVERLAP,0,ACCEPT,-89.9999999999892
F05|2020-08-31T14:00:00.070000+00:00|1,F05,2020-08-31T14:00:00.070000+00:00,2020-08-31|LONDON_NY_OVERLAP,0,ACCEPT,-197.00000000000273
F05|2020-09-01T14:30:00.366000+00:00|1,F05,2020-09-01T14:30:00.366000+00:00,2020-09-01|LONDON_NY_OVERLAP,0,ACCEPT,-186.00000000000705
B02|2020-09-02T08:30:00.340000+00:00|1,B02,2020-09-02T08:30:00.340000+00:00,2020-09-02|LONDON,0,ACCEPT,-8.000000000009777
F05|2020-09-02T08:30:00.340000+00:00|1,F05,2020-09-02T08:30:00.340000+00:00,2020-09-02|LONDON,0,ACCEPT,-19.000000000005457
F05|2020-09-02T11:30:10.392000+00:00|1,F05,2020-09-02T11:30:10.392000+00:00,2020-09-02|LONDON,1,ACCEPT,6.999999999990791
F05|2020-09-03T04:45:22.240000+00:00|1,F05,2020-09-03T04:45:22.240000+00:00,2020-09-03|ASIA,0,ACCEPT,118.99999999999977
F05|2020-09-03T05:45:00.959000+00:00|1,F05,2020-09-03T05:45:00.959000+00:00,2020-09-03|ASIA,0,ACCEPT,6.000000000000227
B02|2020-09-03T09:45:07.708000+00:00|1,B02,2020-09-03T09:45:07.708000+00:00,2020-09-03|LONDON,0,ACCEPT,-29.000000000010573
F05|2020-09-03T09:45:07.708000+00:00|1,F05,2020-09-03T09:45:07.708000+00:00,2020-09-03|LONDON,0,ACCEPT,-280.00000000000114
F05|2020-09-03T10:30:00.103000+00:00|1,F05,2020-09-03T10:30:00.103000+00:00,2020-09-03|LONDON,0,ACCEPT,-300.00000000001137
F05|2020-09-03T12:15:00.157000+00:00|1,F05,2020-09-03T12:15:00.157000+00:00,2020-09-03|LONDON,0,ACCEPT,-371.0000000000093
B02|2020-09-04T12:30:00.184000+00:00|1,B02,2020-09-04T12:30:00.184000+00:00,2020-09-04|LONDON,0,ACCEPT,33.00000000000125
B02|2020-09-07T07:30:00.064000+00:00|-1,B02,2020-09-07T07:30:00.064000+00:00,2020-09-07|LONDON,0,ACCEPT,-4.0000000000048885
F05|2020-09-07T08:30:00.187000+00:00|-1,F05,2020-09-07T08:30:00.187000+00:00,2020-09-07|LONDON,1,ACCEPT,-156.0000000000059
B02|2020-09-08T09:15:00.959000+00:00|1,B02,2020-09-08T09:15:00.959000+00:00,2020-09-08|LONDON,0,ACCEPT,-31.00000000000591
F05|2020-09-08T09:15:00.959000+00:00|1,F05,2020-09-08T09:15:00.959000+00:00,2020-09-08|LONDON,0,ACCEPT,-344.99999999999886
F05|2020-09-08T10:15:00.514000+00:00|1,F05,2020-09-08T10:15:00.514000+00:00,2020-09-08|LONDON,0,ACCEPT,-329.9999999999983
B02|2020-09-08T12:30:01.539000+00:00|-1,B02,2020-09-08T12:30:01.539000+00:00,2020-09-08|LONDON,1,ACCEPT,188.0000000000024
F05|2020-09-08T12:30:01.539000+00:00|-1,F05,2020-09-08T12:30:01.539000+00:00,2020-09-08|LONDON,1,ACCEPT,73.99999999999807
