trade_id,strategy,signal_utc,entry_utc,baseline_close_utc,close_utc,side,side_label,lots,entry_price,baseline_close_price,close_price,baseline_pnl_jpy,pnl_jpy,modified,reason,entry_bar_index,baseline_exit_bar_index,exit_bar_index,session,year,halfyear,quarter,month,detail,source,c3_boundary,atr_m15_pips,extension_atr,volatility_state,current_60s_pips,mfe_60s_pips,mae_60s_pips
F05|2021-12-15T11:00:00.129000+00:00|1,F05,2021-12-15T10:45:00+00:00,2021-12-15T11:00:00.129000+00:00,2021-12-15T19:00:00.038000+00:00,2021-12-15T19:00:00.038000+00:00,1,LONG,0.01,113.826,113.896,113.896,70.00000000000739,70.00000000000739,False,UNCHANGED_BASELINE_TRADE,55028,55060,55060,LONDON_AM,2021,2021H2,2021Q4,2021-12,current_high=113.798;current_low=113.427;previous_high=113.798;previous_low=113.427;signal_close=113.822;previous_close=113.796,DUKASCOPY_SOURCE_NATIVE_BIDASK,,3.8790922289186076,4.640260900684283,LOW,,,
F05|2021-12-15T13:00:00.271000+00:00|1,F05,2021-12-15T12:45:00+00:00,2021-12-15T13:00:00.271000+00:00,2021-12-15T21:00:00.092000+00:00,2021-12-15T21:00:00.092000+00:00,1,LONG,0.01,113.885,114.044,114.044,158.99999999999181,158.99999999999181,False,UNCHANGED_BASELINE_TRADE,55036,55068,55068,NY_OVERLAP,2021,2021H2,2021Q4,2021-12,current_high=113.837;current_low=113.427;previous_high=113.837;previous_low=113.427;signal_close=113.881;previous_close=113.834,DUKASCOPY_SOURCE_NATIVE_BIDASK,,3.92240097410046,5.634304127988507,LOW,,,
F05|2021-12-15T18:00:00.010000+00:00|1,F05,2021-12-15T17:45:00+00:00,2021-12-15T18:00:00.010000+00:00,2021-12-16T02:00:00.289000+00:00,2021-12-16T02:00:00.289000+00:00,1,LONG,0.01,113.91,114.101,114.101,191.0000000000025,191.0000000000025,False,UNCHANGED_BASELINE_TRADE,55056,55088,55088,NY_OVERLAP,2021,2021H2,2021Q4,2021-12,current_high=113.899;current_low=113.61;previous_high=113.899;previous_low=113.604;signal_close=113.905;previous_close=113.882,DUKASCOPY_SOURCE_NATIVE_BIDASK,,4.7947812390814,3.378673435183216,LOW,,,
F05|2021-12-15T18:45:01.475000+00:00|1,F05,2021-12-15T18:30:00+00:00,2021-12-15T18:45:01.475000+00:00,2021-12-16T02:45:04.476000+00:00,2021-12-16T02:45:04.476000+00:00,1,LONG,0.01,113.979,114.099,114.099,120.00000000000455,120.00000000000455,False,UNCHANGED_BASELINE_TRADE,55059,55091,55091,NY_OVERLAP,2021,2021H2,2021Q4,2021-12,current_high=113.965;current_low=113.627;previous_high=113.965;previous_low=113.627;signal_close=113.972;previous_close=113.948,DUKASCOPY_SOURCE_NATIVE_BIDASK,,4.554932355051682,5.071425478883397,LOW,,,
F05|2021-12-15T19:15:01.393000+00:00|1,F05,2021-12-15T19:00:00+00:00,2021-12-15T19:15:01.393000+00:00,2021-12-16T03:15:05.116000+00:00,2021-12-16T03:15:05.116000+00:00,1,LONG,0.01,114.137,114.11,114.11,-27.000000000001023,-27.000000000001023,False,UNCHANGED_BASELINE_TRADE,55061,55093,55093,NY_OVERLAP,2021,2021H2,2021Q4,2021-12,current_high=113.984;current_low=113.627;previous_high=113.972;previous_low=113.627;signal_close=114.131;previous_close=113.895,DUKASCOPY_SOURCE_NATIVE_BIDASK,,7.094814122467988,5.186887121321556,LOW,,,
F05|2021-12-16T15:00:00.181000+00:00|-1,F05,2021-12-16T14:45:00+00:00,2021-12-16T15:00:00.181000+00:00,2021-12-16T23:00:00.172000+00:00,2021-12-16T23:00:00.172000+00:00,-1,SHORT,0.01,113.673,113.723,113.723,-49.99999999999716,-49.99999999999716,False,UNCHANGED_BASELINE_TRADE,55140,55172,55172,NY_OVERLAP,2021,2021H2,2021Q4,2021-12,current_high=114.272;current_low=113.743;previous_high=114.272;previous_low=113.748;signal_close=113.673;previous_close=113.783,DUKASCOPY_SOURCE_NATIVE_BIDASK,,8.796611079443565,5.945471446636684,LOW,,,
F05|2021-12-17T04:00:00.034000+00:00|-1,F05,2021-12-17T03:45:00+00:00,2021-12-17T04:00:00.034000+00:00,2021-12-17T12:00:02.055000+00:00,2021-12-17T12:00:02.055000+00:00,-1,SHORT,0.01,113.526,113.482,113.482,43.99999999999693,43.99999999999693,False,UNCHANGED_BASELINE_TRADE,55192,55224,55224,ASIA,2021,2021H2,2021Q4,2021-12,current_high=114.213;current_low=113.559;previous_high=114.213;previous_low=113.559;signal_close=113.527;previous_close=113.611,DUKASCOPY_SOURCE_NATIVE_BIDASK,,7.052055528143396,4.693666955386919,LOW,,,
B02|2021-12-17T12:15:02.173000+00:00|-1,B02,2021-12-17T12:00:00+00:00,2021-12-17T12:15:02.173000+00:00,2021-12-20T00:15:00.095000+00:00,2021-12-17T15:30:00.130000+00:00,-1,SHORT,0.01,113.42,113.548,113.444,-128.0000000000001,-24.00000000000091,True,A2_C3_EARLY_GIVEBACK_16BAR,55225,55273,55238,LONDON_AM,2021,2021H2,2021Q4,2021-12,session_high=113.857;session_low=113.441;signal_close=113.419,DUKASCOPY_SOURCE_NATIVE_BIDASK,13.0,,,,,,
F05|2021-12-17T12:30:00.291000+00:00|-1,F05,2021-12-17T12:15:00+00:00,2021-12-17T12:30:00.291000+00:00,2021-12-17T20:30:00.091000+00:00,2021-12-17T20:30:00.091000+00:00,-1,SHORT,0.01,113.377,113.701,113.701,-323.99999999999807,-323.99999999999807,False,UNCHANGED_BASELINE_TRADE,55226,55258,55258,LONDON_AM,2021,2021H2,2021Q4,2021-12,current_high=114.196;current_low=113.405;previous_high=114.196;previous_low=113.418;signal_close=113.377;previous_close=113.419,DUKASCOPY_SOURCE_NATIVE_BIDASK,,6.752495009532275,3.302483003470528,LOW,,,
B02|2021-12-20T07:30:00.451000+00:00|-1,B02,2021-12-20T07:15:00+00:00,2021-12-20T07:30:00.451000+00:00,2021-12-20T19:30:04.370000+00:00,2021-12-20T19:30:04.370000+00:00,-1,SHORT,0.01,113.376,113.649,113.649,-272.99999999999613,-272.99999999999613,False,A2_RETAIN_ORIGINAL_48BAR_EXIT,55302,55350,55350,LONDON_AM,2021,2021H2,2021Q4,2021-12,session_high=113.708;session_low=113.409;signal_close=113.377,DUKASCOPY_SOURCE_NATIVE_BIDASK,36.0,,,,,,
