timestamp_utc,realized_jpy,floating_jpy,equity_jpy,open_count,candidate_realized_jpy,candidate_floating_jpy
2024-12-16 17:15:00+00:00,45604.0,-322.0,1046601.9999999997,4,1319.9999999996273,0.0
2024-12-16 17:30:00+00:00,45604.0,102.0,1047025.9999999997,4,1319.9999999996273,0.0
2024-12-16 17:45:00+00:00,45604.0,106.0,1047029.9999999997,4,1319.9999999996273,0.0
2024-12-16 18:00:00+00:00,45604.0,-38.00000000000001,1046885.9999999997,4,1319.9999999996273,0.0
2024-12-16 18:15:00+00:00,45604.0,-234.0,1046689.9999999997,4,1319.9999999996273,0.0
2024-12-16 18:30:00+00:00,45604.0,14.000000000000004,1046937.9999999997,4,1319.9999999996273,0.0
2024-12-16 18:45:00+00:00,45604.0,-82.0,1046841.9999999997,4,1319.9999999996273,0.0
2024-12-16 19:00:00+00:00,45604.0,-414.0,1046509.9999999997,4,1319.9999999996273,0.0
2024-12-16 19:15:00+00:00,45604.0,-502.0,1046421.9999999997,4,1319.9999999996273,0.0
2024-12-16 19:30:00+00:00,45604.0,-366.0,1046557.9999999997,4,1319.9999999996273,0.0
2024-12-16 19:45:00+00:00,45604.0,-190.0,1046733.9999999997,4,1319.9999999996273,0.0
2024-12-16 20:00:00+00:00,45604.0,-142.0,1046781.9999999997,4,1319.9999999996273,0.0
2024-12-16 20:15:00+00:00,45604.0,-198.0,1046725.9999999997,4,1319.9999999996273,0.0
2024-12-16 20:30:00+00:00,45604.0,-230.0,1046693.9999999997,4,1319.9999999996273,0.0
2024-12-16 20:45:00+00:00,45620.0,-254.0,1046685.9999999997,3,1319.9999999996273,0.0
2024-12-16 21:00:00+00:00,45620.0,-92.0,1046847.9999999997,3,1319.9999999996273,0.0
2024-12-16 21:15:00+00:00,45620.0,28.000000000000007,1046967.9999999997,3,1319.9999999996273,0.0
2024-12-16 21:30:00+00:00,45620.0,37.000000000000014,1046976.9999999997,3,1319.9999999996273,0.0
2024-12-16 21:45:00+00:00,45620.0,7.000000000000011,1046946.9999999997,3,1319.9999999996273,0.0
2024-12-16 22:00:00+00:00,45620.0,-341.0,1046598.9999999997,3,1319.9999999996273,0.0
2024-12-16 22:15:00+00:00,45620.0,-200.0,1046739.9999999997,3,1319.9999999996273,0.0
2024-12-16 22:30:00+00:00,45555.0,-198.0,1046676.9999999997,2,1319.9999999996273,0.0
2024-12-16 22:45:00+00:00,45555.0,-168.0,1046706.9999999997,2,1319.9999999996273,0.0
2024-12-16 23:00:00+00:00,45383.0,52.0,1046754.9999999997,1,1319.9999999996273,0.0
2024-12-16 23:15:00+00:00,45383.0,167.0,1046869.9999999997,1,1319.9999999996273,0.0
2024-12-16 23:30:00+00:00,45383.0,102.0,1046804.9999999997,1,1319.9999999996273,0.0
2024-12-16 23:45:00+00:00,45383.0,94.0,1046796.9999999997,1,1319.9999999996273,0.0
2024-12-17 00:00:00+00:00,45383.0,6.0,1046708.9999999997,1,1319.9999999996273,0.0
2024-12-17 00:15:00+00:00,45383.0,80.0,1046782.9999999997,1,1319.9999999996273,0.0
2024-12-17 00:30:00+00:00,45383.0,157.0,1046859.9999999997,1,1319.9999999996273,0.0
2024-12-17 00:45:00+00:00,45593.0,0.0,1046912.9999999997,0,1319.9999999996273,0.0
2024-12-17 09:45:00+00:00,45593.0,-5.0,1046907.9999999997,1,1319.9999999996273,0.0
2024-12-17 10:00:00+00:00,45593.0,-39.0,1046873.9999999997,1,1319.9999999996273,0.0
