candidate_id,holdout_fold,train_folds,variant_id,training_hard_pass,training_gate_pass_count,training_gate_count,training_net_jpy,training_pf,training_negative_day_contribution_jpy,training_full_equity_dd_jpy,training_worst_5d_jpy,complexity,portability,selected_for_holdout
C6_BEST_ADMISSIBLE_COMBINED,2023H1,"2023H2,2024H1,2024H2",C6_K1_E1_NP60_1,False,18,26,14695.999999999854,1.4766321798073423,-5791.000000000082,,-9304.000000000015,3,2,
C6_BEST_ADMISSIBLE_COMBINED,2023H1,"2023H2,2024H1,2024H2",C6_K2_E2_S2,False,17,26,7354.000000000099,1.2802805091851535,-3525.9999999999254,,-9399.00000000004,3,1,
C6_BEST_ADMISSIBLE_COMBINED,2023H1,"2023H2,2024H1,2024H2",C6_K3_E3_NP60_3,False,12,26,1728.999999999929,1.065092989985691,-6713.000000000136,,-9411.000000000011,4,1,
C6_BEST_ADMISSIBLE_COMBINED,2023H1,"2023H2,2024H1,2024H2",C6_K2_E2_S2,False,17,26,7354.000000000099,1.2802805091851535,-3525.9999999999254,,-9399.00000000004,3,1,True
C6_BEST_ADMISSIBLE_COMBINED,2023H2,"2023H1,2024H1,2024H2",C6_K1_E1_NP60_1,False,21,26,12052.999999999725,1.3910645339216658,-5526.000000000039,41182.00000000012,-12427.000000000013,3,2,
C6_BEST_ADMISSIBLE_COMBINED,2023H2,"2023H1,2024H1,2024H2",C6_K2_E2_S2,False,22,26,10714.999999999847,1.4255361397934778,-2831.9999999999363,40478.00000000012,-12143.999999999996,3,1,
C6_BEST_ADMISSIBLE_COMBINED,2023H2,"2023H1,2024H1,2024H2",C6_K3_E3_NP60_3,False,19,26,2054.999999999751,1.0781933716372945,-2568.000000000183,40279.00000000023,-11211.000000000004,4,1,
C6_BEST_ADMISSIBLE_COMBINED,2023H2,"2023H1,2024H1,2024H2",C6_K3_E3_NP60_3,False,19,26,2054.999999999751,1.0781933716372945,-2568.000000000183,40279.00000000023,-11211.000000000004,4,1,True
C6_BEST_ADMISSIBLE_COMBINED,2024H1,"2023H1,2023H2,2024H2",C6_K1_E1_NP60_1,False,21,26,12957.999999999869,1.3650552174892894,-10097.999999999956,40138.99999999988,-12427.000000000013,3,2,
C6_BEST_ADMISSIBLE_COMBINED,2024H1,"2023H1,2023H2,2024H2",C6_K2_E2_S2,False,20,26,6615.000000000024,1.2136765940952259,-5075.99999999988,39566.0,-12143.999999999996,3,1,
C6_BEST_ADMISSIBLE_COMBINED,2024H1,"2023H1,2023H2,2024H2",C6_K3_E3_NP60_3,False,20,26,4534.999999999798,1.155494599691403,-4910.00000000011,40984.00000000023,-11211.000000000004,4,1,
C6_BEST_ADMISSIBLE_COMBINED,2024H1,"2023H1,2023H2,2024H2",C6_K3_E3_NP60_3,False,20,26,4534.999999999798,1.155494599691403,-4910.00000000011,40984.00000000023,-11211.000000000004,4,1,True
C6_BEST_ADMISSIBLE_COMBINED,2024H2,"2023H1,2023H2,2024H1",C6_K1_E1_NP60_1,False,22,26,8814.999999999927,1.3233675715333788,-9442.999999999842,40138.99999999988,-12427.000000000013,3,2,
C6_BEST_ADMISSIBLE_COMBINED,2024H2,"2023H1,2023H2,2024H1",C6_K2_E2_S2,False,20,26,3924.0000000000773,1.179810291893877,-5995.999999999838,39566.0,-12143.999999999996,3,1,
C6_BEST_ADMISSIBLE_COMBINED,2024H2,"2023H1,2023H2,2024H1",C6_K3_E3_NP60_3,False,20,26,4010.9999999997117,1.1893499504319347,-5831.000000000102,40984.00000000023,-11211.000000000004,4,1,
C6_BEST_ADMISSIBLE_COMBINED,2024H2,"2023H1,2023H2,2024H1",C6_K3_E3_NP60_3,False,20,26,4010.9999999997117,1.1893499504319347,-5831.000000000102,40984.00000000023,-11211.000000000004,4,1,True
