signal_utc,canonical_side,opportunity_id,raw_side,event_id,schedule_class
2023-06-05 13:45:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-05T14:00:00+00:00|1,1.0,RAW|2023-06-05|2023-06-05T13:45:00Z|1,common_intersection
2023-06-06 07:45:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-06T08:00:00+00:00|1,1.0,RAW|2023-06-06|2023-06-06T07:45:00Z|1,common_intersection
2023-06-06 13:00:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-06T13:15:00+00:00|-1,-1.0,RAW|2023-06-06|2023-06-06T13:00:00Z|-1,common_intersection
2023-06-07 12:45:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-07T13:00:00+00:00|-1,-1.0,RAW|2023-06-07|2023-06-07T12:45:00Z|-1,common_intersection
2023-06-08 08:30:00+00:00,,,1.0,RAW|2023-06-08|2023-06-08T08:30:00Z|1,raw_only
2023-06-08 08:45:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-08T09:00:00+00:00|1,,,canonical_only
2023-06-09 07:30:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-09T07:45:00+00:00|-1,-1.0,RAW|2023-06-09|2023-06-09T07:30:00Z|-1,common_intersection
2023-06-12 11:15:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-12T11:30:00+00:00|1,1.0,RAW|2023-06-12|2023-06-12T11:15:00Z|1,common_intersection
2023-06-12 14:45:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-12T15:00:00+00:00|-1,-1.0,RAW|2023-06-12|2023-06-12T14:45:00Z|-1,common_intersection
2023-06-13 12:15:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-13T12:30:00+00:00|1,1.0,RAW|2023-06-13|2023-06-13T12:15:00Z|1,common_intersection
2023-06-14 07:00:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-14T07:15:00+00:00|-1,-1.0,RAW|2023-06-14|2023-06-14T07:00:00Z|-1,common_intersection
2023-06-14 11:45:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-14T12:00:00+00:00|1,1.0,RAW|2023-06-14|2023-06-14T11:45:00Z|1,common_intersection
2023-06-15 07:30:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-15T07:45:00+00:00|-1,-1.0,RAW|2023-06-15|2023-06-15T07:30:00Z|-1,common_intersection
2023-06-16 07:30:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-16T07:45:00+00:00|-1,-1.0,RAW|2023-06-16|2023-06-16T07:30:00Z|-1,common_intersection
2023-06-19 09:00:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-19T09:15:00+00:00|-1,-1.0,RAW|2023-06-19|2023-06-19T09:00:00Z|-1,common_intersection
2023-06-20 08:30:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-20T08:45:00+00:00|1,1.0,RAW|2023-06-20|2023-06-20T08:30:00Z|1,common_intersection
2023-06-21 07:00:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-21T07:15:00+00:00|-1,-1.0,RAW|2023-06-21|2023-06-21T07:00:00Z|-1,common_intersection
2023-06-22 07:00:00+00:00,-1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-22T07:15:00+00:00|-1,-1.0,RAW|2023-06-22|2023-06-22T07:00:00Z|-1,common_intersection
2023-06-23 07:30:00+00:00,1.0,2023H1|F_ASIAN_RANGE_SWEEP|2023-06-23T07:45:00+00:00|1,1.0,RAW|2023-06-23|2023-06-23T07:30:00Z|1,common_intersection
2023-06-23 14:00:00+00:00,,,-1.0,RAW|2023-06-23|2023-06-23T14:00:00Z|-1,raw_only
