timestamp,timeframe,bucket_start_server,information_time,completed_information_time,close,partial_bar_exclusion,missing_history_flag,source,timezone,future_bar_access,fast_value,slow_value,slope,raw_state,previous_raw_state,state,state_start,state_duration_hours,last_state_change
2024-06-28 16:00:00+00:00,H4,2024-06-28 16:00:00+00:00,2024-06-28 17:00:00+00:00,2024-06-28 17:00:00+00:00,160.85,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,160.77833742220648,160.29154002174616,48.67974004603184,Up,Up,Up,2024-06-13 05:00:00+00:00,372.0,2024-06-13 05:00:00+00:00
2024-06-28 20:00:00+00:00,H4,2024-06-28 20:00:00+00:00,2024-06-28 21:00:00+00:00,2024-06-28 21:00:00+00:00,160.802,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,160.7850981587189,160.33237682000646,45.272133871245046,Up,Up,Up,2024-06-13 05:00:00+00:00,376.0,2024-06-13 05:00:00+00:00
2024-07-01 00:00:00+00:00,H4,2024-07-01 00:00:00+00:00,2024-07-01 01:00:00+00:00,2024-07-01 01:00:00+00:00,160.991,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,160.8439272562278,160.38506667440595,45.88605818218525,Up,Up,Up,2024-06-13 05:00:00+00:00,428.0,2024-06-13 05:00:00+00:00
2024-07-01 04:00:00+00:00,H4,2024-07-01 04:00:00+00:00,2024-07-01 05:00:00+00:00,2024-07-01 05:00:00+00:00,161.072,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,160.9090908973056,160.44002134045348,46.906955685210505,Up,Up,Up,2024-06-13 05:00:00+00:00,432.0,2024-06-13 05:00:00+00:00
2024-07-01 08:00:00+00:00,H4,2024-07-01 08:00:00+00:00,2024-07-01 09:00:00+00:00,2024-07-01 09:00:00+00:00,161.009,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,160.93763635521827,160.4855396332172,45.20967220010732,Up,Up,Up,2024-06-13 05:00:00+00:00,436.0,2024-06-13 05:00:00+00:00
2024-07-01 12:00:00+00:00,H4,2024-07-01 12:00:00+00:00,2024-07-01 13:00:00+00:00,2024-07-01 13:00:00+00:00,161.352,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.05602596801305,160.55485646255985,50.11695054531913,Up,Up,Up,2024-06-13 05:00:00+00:00,440.0,2024-06-13 05:00:00+00:00
2024-07-01 16:00:00+00:00,H4,2024-07-01 16:00:00+00:00,2024-07-01 17:00:00+00:00,2024-07-01 17:00:00+00:00,161.521,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.1888756914379,160.6321479455551,55.672774588279594,Up,Up,Up,2024-06-13 05:00:00+00:00,444.0,2024-06-13 05:00:00+00:00
2024-07-01 20:00:00+00:00,H4,2024-07-01 20:00:00+00:00,2024-07-01 21:00:00+00:00,2024-07-01 21:00:00+00:00,161.421,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.25519692245564,160.6952561099107,55.99408125449372,Up,Up,Up,2024-06-13 05:00:00+00:00,448.0,2024-06-13 05:00:00+00:00
2024-07-02 00:00:00+00:00,H4,2024-07-02 00:00:00+00:00,2024-07-02 01:00:00+00:00,2024-07-02 01:00:00+00:00,161.524,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.33199780175403,160.76155562111785,57.04421806361779,Up,Up,Up,2024-06-13 05:00:00+00:00,452.0,2024-06-13 05:00:00+00:00
2024-07-02 04:00:00+00:00,H4,2024-07-02 04:00:00+00:00,2024-07-02 05:00:00+00:00,2024-07-02 05:00:00+00:00,161.677,True,False,dukascopy_bi5_raw_native,UTC_information_Rakuten_logical_server_bucket,False,161.43056985839573,160.8347911714284,59.57786869673214,Up,Up,Up,2024-06-13 05:00:00+00:00,456.0,2024-06-13 05:00:00+00:00
