variant_id,family_id,track,gate,pass
E_TOKYO_LONDON,E,A_INDEPENDENT_ALPHA,additive_portfolio_net_improves,True
E_TOKYO_LONDON,E,A_INDEPENDENT_ALPHA,combined_realized_dd_non_worse,True
E_TOKYO_LONDON,E,A_INDEPENDENT_ALPHA,worst_20_business_day_non_worse,True
E_TOKYO_LONDON,E,B_COMPLEMENTARITY,standalone_net_positive,True
E_TOKYO_LONDON,E,B_COMPLEMENTARITY,pf_ge_1_00,True
E_TOKYO_LONDON,E,B_COMPLEMENTARITY,positive_folds_ge_3,False
E_TOKYO_LONDON,E,B_COMPLEMENTARITY,negative_baseline_day_contribution_positive,False
E_TOKYO_LONDON,E,B_COMPLEMENTARITY,additive_net_improves,True
E_TOKYO_LONDON,E,B_COMPLEMENTARITY,combined_realized_dd_improves,True
E_TOKYO_LONDON,E,B_COMPLEMENTARITY,minimum_equity_improves,True
E_TOKYO_LONDON,E,B_COMPLEMENTARITY,worst_5_business_day_non_worse,True
E_TOKYO_LONDON,E,B_COMPLEMENTARITY,worst_20_business_day_non_worse,True
E_TOKYO_LONDON,E,B_COMPLEMENTARITY,top5_winners_removed_positive,False
E_TOKYO_LONDON,E,B_COMPLEMENTARITY,spread_plus_1pip_positive,True
E_LONDON_NY,E,A_INDEPENDENT_ALPHA,executable_trades_ge_120,True
E_LONDON_NY,E,A_INDEPENDENT_ALPHA,net_positive,True
E_LONDON_NY,E,A_INDEPENDENT_ALPHA,pf_ge_1_10,False
E_LONDON_NY,E,A_INDEPENDENT_ALPHA,positive_folds_ge_3,False
E_LONDON_NY,E,A_INDEPENDENT_ALPHA,minimum_fold_ge_minus_1000,False
E_LONDON_NY,E,A_INDEPENDENT_ALPHA,positive_months_ge_16,False
E_LONDON_NY,E,A_INDEPENDENT_ALPHA,best_event_removed_positive,False
E_LONDON_NY,E,A_INDEPENDENT_ALPHA,top5_winners_removed_positive,False
E_LONDON_NY,E,A_INDEPENDENT_ALPHA,event_bootstrap_p_nonpositive_le_10pct,False
E_LONDON_NY,E,A_INDEPENDENT_ALPHA,spread_plus_1pip_positive,False
E_LONDON_NY,E,A_INDEPENDENT_ALPHA,entry_delay_5s_positive,True
E_LONDON_NY,E,A_INDEPENDENT_ALPHA,additive_portfolio_net_improves,True
E_LONDON_NY,E,A_INDEPENDENT_ALPHA,combined_realized_dd_non_worse,False
E_LONDON_NY,E,A_INDEPENDENT_ALPHA,worst_20_business_day_non_worse,False
E_LONDON_NY,E,B_COMPLEMENTARITY,standalone_net_positive,True
E_LONDON_NY,E,B_COMPLEMENTARITY,pf_ge_1_00,True
E_LONDON_NY,E,B_COMPLEMENTARITY,positive_folds_ge_3,False
E_LONDON_NY,E,B_COMPLEMENTARITY,negative_baseline_day_contribution_positive,False
E_LONDON_NY,E,B_COMPLEMENTARITY,additive_net_improves,True
E_LONDON_NY,E,B_COMPLEMENTARITY,combined_realized_dd_improves,False
E_LONDON_NY,E,B_COMPLEMENTARITY,minimum_equity_improves,False
E_LONDON_NY,E,B_COMPLEMENTARITY,worst_5_business_day_non_worse,False
E_LONDON_NY,E,B_COMPLEMENTARITY,worst_20_business_day_non_worse,False
E_LONDON_NY,E,B_COMPLEMENTARITY,top5_winners_removed_positive,False
E_LONDON_NY,E,B_COMPLEMENTARITY,spread_plus_1pip_positive,False
E_NY_TOKYO,E,A_INDEPENDENT_ALPHA,executable_trades_ge_120,False
E_NY_TOKYO,E,A_INDEPENDENT_ALPHA,net_positive,False
E_NY_TOKYO,E,A_INDEPENDENT_ALPHA,pf_ge_1_10,False
E_NY_TOKYO,E,A_INDEPENDENT_ALPHA,positive_folds_ge_3,False
E_NY_TOKYO,E,A_INDEPENDENT_ALPHA,minimum_fold_ge_minus_1000,False
E_NY_TOKYO,E,A_INDEPENDENT_ALPHA,positive_months_ge_16,False
E_NY_TOKYO,E,A_INDEPENDENT_ALPHA,best_event_removed_positive,False
E_NY_TOKYO,E,A_INDEPENDENT_ALPHA,top5_winners_removed_positive,False
E_NY_TOKYO,E,A_INDEPENDENT_ALPHA,event_bootstrap_p_nonpositive_le_10pct,False
E_NY_TOKYO,E,A_INDEPENDENT_ALPHA,spread_plus_1pip_positive,False
E_NY_TOKYO,E,A_INDEPENDENT_ALPHA,entry_delay_5s_positive,False
E_NY_TOKYO,E,A_INDEPENDENT_ALPHA,additive_portfolio_net_improves,False
E_NY_TOKYO,E,A_INDEPENDENT_ALPHA,combined_realized_dd_non_worse,False
E_NY_TOKYO,E,A_INDEPENDENT_ALPHA,worst_20_business_day_non_worse,False
E_NY_TOKYO,E,B_COMPLEMENTARITY,standalone_net_positive,False
E_NY_TOKYO,E,B_COMPLEMENTARITY,pf_ge_1_00,False
E_NY_TOKYO,E,B_COMPLEMENTARITY,positive_folds_ge_3,False
E_NY_TOKYO,E,B_COMPLEMENTARITY,negative_baseline_day_contribution_positive,True
E_NY_TOKYO,E,B_COMPLEMENTARITY,additive_net_improves,False
E_NY_TOKYO,E,B_COMPLEMENTARITY,combined_realized_dd_improves,False
E_NY_TOKYO,E,B_COMPLEMENTARITY,minimum_equity_improves,False
E_NY_TOKYO,E,B_COMPLEMENTARITY,worst_5_business_day_non_worse,False
E_NY_TOKYO,E,B_COMPLEMENTARITY,worst_20_business_day_non_worse,False
E_NY_TOKYO,E,B_COMPLEMENTARITY,top5_winners_removed_positive,False
E_NY_TOKYO,E,B_COMPLEMENTARITY,spread_plus_1pip_positive,False
G_TREND_EXHAUSTION,G,A_INDEPENDENT_ALPHA,executable_trades_ge_120,True
G_TREND_EXHAUSTION,G,A_INDEPENDENT_ALPHA,net_positive,False
G_TREND_EXHAUSTION,G,A_INDEPENDENT_ALPHA,pf_ge_1_10,False
G_TREND_EXHAUSTION,G,A_INDEPENDENT_ALPHA,positive_folds_ge_3,False
G_TREND_EXHAUSTION,G,A_INDEPENDENT_ALPHA,minimum_fold_ge_minus_1000,False
G_TREND_EXHAUSTION,G,A_INDEPENDENT_ALPHA,positive_months_ge_16,False
G_TREND_EXHAUSTION,G,A_INDEPENDENT_ALPHA,best_event_removed_positive,False
G_TREND_EXHAUSTION,G,A_INDEPENDENT_ALPHA,top5_winners_removed_positive,False
G_TREND_EXHAUSTION,G,A_INDEPENDENT_ALPHA,event_bootstrap_p_nonpositive_le_10pct,False
G_TREND_EXHAUSTION,G,A_INDEPENDENT_ALPHA,spread_plus_1pip_positive,False
G_TREND_EXHAUSTION,G,A_INDEPENDENT_ALPHA,entry_delay_5s_positive,False
G_TREND_EXHAUSTION,G,A_INDEPENDENT_ALPHA,additive_portfolio_net_improves,False
G_TREND_EXHAUSTION,G,A_INDEPENDENT_ALPHA,combined_realized_dd_non_worse,True
G_TREND_EXHAUSTION,G,A_INDEPENDENT_ALPHA,worst_20_business_day_non_worse,True
G_TREND_EXHAUSTION,G,B_COMPLEMENTARITY,standalone_net_positive,False
G_TREND_EXHAUSTION,G,B_COMPLEMENTARITY,pf_ge_1_00,False
G_TREND_EXHAUSTION,G,B_COMPLEMENTARITY,positive_folds_ge_3,False
G_TREND_EXHAUSTION,G,B_COMPLEMENTARITY,negative_baseline_day_contribution_positive,True
G_TREND_EXHAUSTION,G,B_COMPLEMENTARITY,additive_net_improves,False
G_TREND_EXHAUSTION,G,B_COMPLEMENTARITY,combined_realized_dd_improves,True
G_TREND_EXHAUSTION,G,B_COMPLEMENTARITY,minimum_equity_improves,True
G_TREND_EXHAUSTION,G,B_COMPLEMENTARITY,worst_5_business_day_non_worse,True
G_TREND_EXHAUSTION,G,B_COMPLEMENTARITY,worst_20_business_day_non_worse,True
G_TREND_EXHAUSTION,G,B_COMPLEMENTARITY,top5_winners_removed_positive,False
G_TREND_EXHAUSTION,G,B_COMPLEMENTARITY,spread_plus_1pip_positive,False
H_COMPRESSION_BREAKOUT,H,A_INDEPENDENT_ALPHA,executable_trades_ge_120,True
H_COMPRESSION_BREAKOUT,H,A_INDEPENDENT_ALPHA,net_positive,False
H_COMPRESSION_BREAKOUT,H,A_INDEPENDENT_ALPHA,pf_ge_1_10,False
H_COMPRESSION_BREAKOUT,H,A_INDEPENDENT_ALPHA,positive_folds_ge_3,False
H_COMPRESSION_BREAKOUT,H,A_INDEPENDENT_ALPHA,minimum_fold_ge_minus_1000,False
H_COMPRESSION_BREAKOUT,H,A_INDEPENDENT_ALPHA,positive_months_ge_16,False
H_COMPRESSION_BREAKOUT,H,A_INDEPENDENT_ALPHA,best_event_removed_positive,False
H_COMPRESSION_BREAKOUT,H,A_INDEPENDENT_ALPHA,top5_winners_removed_positive,False
H_COMPRESSION_BREAKOUT,H,A_INDEPENDENT_ALPHA,event_bootstrap_p_nonpositive_le_10pct,False
H_COMPRESSION_BREAKOUT,H,A_INDEPENDENT_ALPHA,spread_plus_1pip_positive,False
H_COMPRESSION_BREAKOUT,H,A_INDEPENDENT_ALPHA,entry_delay_5s_positive,False
H_COMPRESSION_BREAKOUT,H,A_INDEPENDENT_ALPHA,additive_portfolio_net_improves,False
H_COMPRESSION_BREAKOUT,H,A_INDEPENDENT_ALPHA,combined_realized_dd_non_worse,False
H_COMPRESSION_BREAKOUT,H,A_INDEPENDENT_ALPHA,worst_20_business_day_non_worse,True
H_COMPRESSION_BREAKOUT,H,B_COMPLEMENTARITY,standalone_net_positive,False
H_COMPRESSION_BREAKOUT,H,B_COMPLEMENTARITY,pf_ge_1_00,False
H_COMPRESSION_BREAKOUT,H,B_COMPLEMENTARITY,positive_folds_ge_3,False
H_COMPRESSION_BREAKOUT,H,B_COMPLEMENTARITY,negative_baseline_day_contribution_positive,False
H_COMPRESSION_BREAKOUT,H,B_COMPLEMENTARITY,additive_net_improves,False
H_COMPRESSION_BREAKOUT,H,B_COMPLEMENTARITY,combined_realized_dd_improves,False
H_COMPRESSION_BREAKOUT,H,B_COMPLEMENTARITY,minimum_equity_improves,False
H_COMPRESSION_BREAKOUT,H,B_COMPLEMENTARITY,worst_5_business_day_non_worse,True
H_COMPRESSION_BREAKOUT,H,B_COMPLEMENTARITY,worst_20_business_day_non_worse,True
H_COMPRESSION_BREAKOUT,H,B_COMPLEMENTARITY,top5_winners_removed_positive,False
H_COMPRESSION_BREAKOUT,H,B_COMPLEMENTARITY,spread_plus_1pip_positive,False
I_FAILED_TREND_CONTINUATION,I,A_INDEPENDENT_ALPHA,executable_trades_ge_120,False
I_FAILED_TREND_CONTINUATION,I,A_INDEPENDENT_ALPHA,net_positive,False
I_FAILED_TREND_CONTINUATION,I,A_INDEPENDENT_ALPHA,pf_ge_1_10,False
I_FAILED_TREND_CONTINUATION,I,A_INDEPENDENT_ALPHA,positive_folds_ge_3,False
I_FAILED_TREND_CONTINUATION,I,A_INDEPENDENT_ALPHA,minimum_fold_ge_minus_1000,False
I_FAILED_TREND_CONTINUATION,I,A_INDEPENDENT_ALPHA,positive_months_ge_16,False
I_FAILED_TREND_CONTINUATION,I,A_INDEPENDENT_ALPHA,best_event_removed_positive,False
I_FAILED_TREND_CONTINUATION,I,A_INDEPENDENT_ALPHA,top5_winners_removed_positive,False
I_FAILED_TREND_CONTINUATION,I,A_INDEPENDENT_ALPHA,event_bootstrap_p_nonpositive_le_10pct,False
I_FAILED_TREND_CONTINUATION,I,A_INDEPENDENT_ALPHA,spread_plus_1pip_positive,False
I_FAILED_TREND_CONTINUATION,I,A_INDEPENDENT_ALPHA,entry_delay_5s_positive,False
I_FAILED_TREND_CONTINUATION,I,A_INDEPENDENT_ALPHA,additive_portfolio_net_improves,False
I_FAILED_TREND_CONTINUATION,I,A_INDEPENDENT_ALPHA,combined_realized_dd_non_worse,False
I_FAILED_TREND_CONTINUATION,I,A_INDEPENDENT_ALPHA,worst_20_business_day_non_worse,True
I_FAILED_TREND_CONTINUATION,I,B_COMPLEMENTARITY,standalone_net_positive,False
I_FAILED_TREND_CONTINUATION,I,B_COMPLEMENTARITY,pf_ge_1_00,False
I_FAILED_TREND_CONTINUATION,I,B_COMPLEMENTARITY,positive_folds_ge_3,False
I_FAILED_TREND_CONTINUATION,I,B_COMPLEMENTARITY,negative_baseline_day_contribution_positive,True
I_FAILED_TREND_CONTINUATION,I,B_COMPLEMENTARITY,additive_net_improves,False
I_FAILED_TREND_CONTINUATION,I,B_COMPLEMENTARITY,combined_realized_dd_improves,False
I_FAILED_TREND_CONTINUATION,I,B_COMPLEMENTARITY,minimum_equity_improves,False
I_FAILED_TREND_CONTINUATION,I,B_COMPLEMENTARITY,worst_5_business_day_non_worse,True
I_FAILED_TREND_CONTINUATION,I,B_COMPLEMENTARITY,worst_20_business_day_non_worse,True
I_FAILED_TREND_CONTINUATION,I,B_COMPLEMENTARITY,top5_winners_removed_positive,False
I_FAILED_TREND_CONTINUATION,I,B_COMPLEMENTARITY,spread_plus_1pip_positive,False
K_LONDON_OPENING_RANGE_BREAKOUT,K,A_INDEPENDENT_ALPHA,executable_trades_ge_120,True
K_LONDON_OPENING_RANGE_BREAKOUT,K,A_INDEPENDENT_ALPHA,net_positive,True
K_LONDON_OPENING_RANGE_BREAKOUT,K,A_INDEPENDENT_ALPHA,pf_ge_1_10,False
K_LONDON_OPENING_RANGE_BREAKOUT,K,A_INDEPENDENT_ALPHA,positive_folds_ge_3,False
K_LONDON_OPENING_RANGE_BREAKOUT,K,A_INDEPENDENT_ALPHA,minimum_fold_ge_minus_1000,False
K_LONDON_OPENING_RANGE_BREAKOUT,K,A_INDEPENDENT_ALPHA,positive_months_ge_16,False
K_LONDON_OPENING_RANGE_BREAKOUT,K,A_INDEPENDENT_ALPHA,best_event_removed_positive,True
K_LONDON_OPENING_RANGE_BREAKOUT,K,A_INDEPENDENT_ALPHA,top5_winners_removed_positive,False
K_LONDON_OPENING_RANGE_BREAKOUT,K,A_INDEPENDENT_ALPHA,event_bootstrap_p_nonpositive_le_10pct,False
K_LONDON_OPENING_RANGE_BREAKOUT,K,A_INDEPENDENT_ALPHA,spread_plus_1pip_positive,False
K_LONDON_OPENING_RANGE_BREAKOUT,K,A_INDEPENDENT_ALPHA,entry_delay_5s_positive,True
K_LONDON_OPENING_RANGE_BREAKOUT,K,A_INDEPENDENT_ALPHA,additive_portfolio_net_improves,True
K_LONDON_OPENING_RANGE_BREAKOUT,K,A_INDEPENDENT_ALPHA,combined_realized_dd_non_worse,False
K_LONDON_OPENING_RANGE_BREAKOUT,K,A_INDEPENDENT_ALPHA,worst_20_business_day_non_worse,True
