exit_utc,candidate_id,mode,component,pnl_jpy,equity_jpy
2024-02-26 23:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-104.0,-828.0000000000396
2024-02-27 00:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-262.0,-1090.0000000000396
2024-02-27 01:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-301.0,-1391.0000000000396
2024-02-27 16:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-97.0,-1488.0000000000396
2024-02-27 19:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-149.0,-1637.0000000000396
2024-02-28 12:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,18.0,-1619.0000000000396
2024-02-28 15:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,110.0,-1509.0000000000396
2024-02-28 15:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,17.0,-1492.0000000000396
2024-02-28 16:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-7.0,-1499.0000000000396
2024-02-28 19:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-64.0,-1563.0000000000396
2024-02-29 09:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,482.0,-1081.0000000000396
2024-02-29 10:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,SHOCK_FAILURE,157.0000000000107,-924.0000000000289
2024-02-29 20:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-302.0,-1226.0000000000289
2024-02-29 23:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-497.0,-1723.0000000000289
2024-03-01 10:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,265.0,-1458.0000000000289
2024-03-01 13:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,158.0,-1300.0000000000289
2024-03-01 16:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-381.0,-1681.0000000000289
2024-03-01 16:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-425.0,-2106.000000000029
2024-03-01 20:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-389.0,-2495.000000000029
2024-03-04 08:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-428.0,-2923.000000000029
2024-03-04 17:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,SHOCK_FAILURE,112.99999999999955,-2810.0000000000296
2024-03-04 19:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,126.0,-2684.0000000000296
2024-03-05 18:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,SHOCK_FAILURE,106.99999999999932,-2577.00000000003
2024-03-05 21:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,316.0,-2261.00000000003
2024-03-05 21:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,161.0,-2100.00000000003
2024-03-05 23:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,29.0,-2071.00000000003
2024-03-06 10:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,SHOCK_FAILURE,109.99999999998522,-1961.0000000000448
2024-03-06 15:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,169.0,-1792.0000000000448
2024-03-06 15:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-142.0,-1934.0000000000448
2024-03-06 19:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,188.0,-1746.0000000000448
2024-03-07 01:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,278.0,-1468.0000000000448
2024-03-07 08:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,931.0,-537.0000000000448
2024-03-07 09:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,959.0,421.9999999999552
2024-03-07 12:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,678.0,1099.9999999999552
2024-03-07 14:45:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,218.0,1317.9999999999552
2024-03-07 16:00:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-205.0,1112.9999999999552
2024-03-07 16:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,-97.0,1015.9999999999552
2024-03-07 19:15:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,26.0,1041.9999999999552
2024-03-08 17:30:00+00:00,B_EXECUTABLE_T0_8BAR,ADDITIVE,BASELINE,348.0,1389.9999999999552
