failure_i,shock_i,entry_i,exit_i,side,reason,opportunity_id,fold,signal_utc,entry_utc,exit_utc,entry_bid,exit_bid,normalized_pl_jpy,net_pips,near_entry_B02,near_entry_F05,simultaneous_B02,simultaneous_F05,simultaneous_any_baseline,shock_start_utc,shock_end_utc,failure_start_utc,failure_end_utc,shock_direction,side_label,session,shock_midpoint,shock_ratio,shock_tr_pips,shock_body_pips,impulse_run_bars,shock_size_bucket,shock_duration_bucket,exit4_utc,baseline_day_pnl_jpy,baseline_day_state,baseline_existing_drawdown_jpy,b02_active,f05_active,both_active,neither_active,active_count,same_direction_overlap,opposite_direction_overlap,active_trade_ids,loss_cluster_nearby
34153,34152,34154,34162,1,down_shock_failed,2024H1|D_SHOCK_FAILURE|2024-05-16T01:15:00+00:00|1,2024H1,2024-05-16 01:00:00+00:00,2024-05-16 01:15:00+00:00,2024-05-16 03:15:00+00:00,153.801,153.992,186.0000000000025,18.60000000000025,False,True,False,True,True,2024-05-16 00:45:00+00:00,2024-05-16 01:00:00+00:00,2024-05-16 01:00:00+00:00,2024-05-16 01:15:00+00:00,DOWN,LONG,TOKYO,153.7845,3.5117370892019344,37.39999999999952,31.100000000000705,3,3.00_to_lt_4.00,GE_3_BARS,2024-05-16 02:15:00+00:00,-118.0,NEGATIVE,0.0,False,True,False,False,1,False,True,2024H1|F05|2024-05-16T00:30:00+00:00|-1,False
34782,34781,34783,34791,1,down_shock_failed,2024H1|D_SHOCK_FAILURE|2024-05-24T14:30:00+00:00|1,2024H1,2024-05-24 14:15:00+00:00,2024-05-24 14:30:00+00:00,2024-05-24 16:30:00+00:00,157.004,156.848,-160.9999999999775,-16.09999999999775,False,False,False,False,False,2024-05-24 14:00:00+00:00,2024-05-24 14:15:00+00:00,2024-05-24 14:15:00+00:00,2024-05-24 14:30:00+00:00,DOWN,LONG,LONDON_NY_OVERLAP,156.9865,3.1372549019597242,15.999999999999659,12.899999999999068,1,3.00_to_lt_4.00,1_BAR,2024-05-24 15:30:00+00:00,0.0,FLAT,1455.0,False,False,False,True,0,False,False,,False
34921,34920,34922,34930,-1,up_shock_failed,2024H1|D_SHOCK_FAILURE|2024-05-28T01:15:00+00:00|-1,2024H1,2024-05-28 01:00:00+00:00,2024-05-28 01:15:00+00:00,2024-05-28 03:15:00+00:00,156.843,156.736,101.99999999999932,10.199999999999932,False,False,True,True,True,2024-05-28 00:45:00+00:00,2024-05-28 01:00:00+00:00,2024-05-28 01:00:00+00:00,2024-05-28 01:15:00+00:00,UP,SHORT,TOKYO,156.8465,2.641025641026725,10.300000000000864,9.600000000000364,1,2.50_to_lt_3.00,1_BAR,2024-05-28 02:15:00+00:00,714.0,POSITIVE,1455.0,True,True,True,False,2,True,True,2024H1|F05|2024-05-27T03:15:00+00:00|-1;2024H1|B02|2024-05-27T07:15:00+00:00|1,False
35138,35137,35139,35147,1,down_shock_failed,2024H1|D_SHOCK_FAILURE|2024-05-30T07:30:00+00:00|1,2024H1,2024-05-30 07:15:00+00:00,2024-05-30 07:30:00+00:00,2024-05-30 09:30:00+00:00,156.812,156.895,77.99999999999841,7.799999999999841,True,True,True,True,True,2024-05-30 07:00:00+00:00,2024-05-30 07:15:00+00:00,2024-05-30 07:15:00+00:00,2024-05-30 07:30:00+00:00,DOWN,LONG,LONDON,156.6395,3.546218487395179,21.100000000001273,18.10000000000116,1,3.00_to_lt_4.00,1_BAR,2024-05-30 08:30:00+00:00,-508.0,NEGATIVE,1084.0,True,True,True,False,4,False,True,2024H1|F05|2024-05-30T06:15:00+00:00|-1;2024H1|F05|2024-05-30T06:45:00+00:00|-1;2024H1|F05|2024-05-30T07:15:00+00:00|-1;2024H1|B02|2024-05-30T07:15:00+00:00|-1,False
36047,36046,36048,36056,1,down_shock_failed,2024H1|D_SHOCK_FAILURE|2024-06-12T18:45:00+00:00|1,2024H1,2024-06-12 18:30:00+00:00,2024-06-12 18:45:00+00:00,2024-06-12 20:45:00+00:00,156.425,156.795,364.9999999999761,36.49999999999761,False,False,True,True,True,2024-06-12 18:15:00+00:00,2024-06-12 18:30:00+00:00,2024-06-12 18:30:00+00:00,2024-06-12 18:45:00+00:00,DOWN,LONG,NEW_YORK,156.3005,3.9829059829063858,23.30000000000041,20.09999999999934,1,3.00_to_lt_4.00,1_BAR,2024-06-12 19:45:00+00:00,-2488.0,NEGATIVE,3119.0,True,True,True,False,4,True,True,2024H1|B02|2024-06-12T07:15:00+00:00|1;2024H1|F05|2024-06-12T12:45:00+00:00|-1;2024H1|F05|2024-06-12T14:00:00+00:00|-1;2024H1|B02|2024-06-12T12:45:00+00:00|-1,False
36411,36410,36412,36420,-1,up_shock_failed,2024H1|D_SHOCK_FAILURE|2024-06-18T13:45:00+00:00|-1,2024H1,2024-06-18 13:30:00+00:00,2024-06-18 13:45:00+00:00,2024-06-18 15:45:00+00:00,157.796,157.75,40.99999999999227,4.099999999999227,False,False,True,True,True,2024-06-18 13:15:00+00:00,2024-06-18 13:30:00+00:00,2024-06-18 13:30:00+00:00,2024-06-18 13:45:00+00:00,UP,SHORT,LONDON_NY_OVERLAP,157.8155,2.6238532110096577,14.300000000000068,9.900000000001796,1,2.50_to_lt_3.00,1_BAR,2024-06-18 14:45:00+00:00,-785.0,NEGATIVE,7732.0,True,True,True,False,4,False,True,2024H1|F05|2024-06-18T07:00:00+00:00|1;2024H1|F05|2024-06-18T07:30:00+00:00|1;2024H1|F05|2024-06-18T08:00:00+00:00|1;2024H1|B02|2024-06-18T07:30:00+00:00|1,False
36649,36648,36650,36658,-1,up_shock_failed,2024H1|D_SHOCK_FAILURE|2024-06-21T01:15:00+00:00|-1,2024H1,2024-06-21 01:00:00+00:00,2024-06-21 01:15:00+00:00,2024-06-21 03:15:00+00:00,159.015,158.955,54.99999999997385,5.499999999997385,False,True,False,True,True,2024-06-21 00:45:00+00:00,2024-06-21 01:00:00+00:00,2024-06-21 01:00:00+00:00,2024-06-21 01:15:00+00:00,UP,SHORT,TOKYO,159.029,3.728155339804625,19.200000000000728,14.100000000001955,6,3.00_to_lt_4.00,GE_3_BARS,2024-06-21 02:15:00+00:00,-392.0,NEGATIVE,5990.0,False,True,False,False,1,False,True,2024H1|F05|2024-06-21T01:00:00+00:00|1,False
37372,37371,37373,37381,1,down_shock_failed,2024H2|D_SHOCK_FAILURE|2024-07-02T14:00:00+00:00|1,2024H2,2024-07-02 13:45:00+00:00,2024-07-02 14:00:00+00:00,2024-07-02 16:00:00+00:00,161.375,161.535,154.9999999999966,15.49999999999966,False,False,False,False,False,2024-07-02 13:30:00+00:00,2024-07-02 13:45:00+00:00,2024-07-02 13:45:00+00:00,2024-07-02 14:00:00+00:00,DOWN,LONG,LONDON_NY_OVERLAP,161.3725,3.803571428571039,21.30000000000223,18.600000000000705,3,3.00_to_lt_4.00,GE_3_BARS,2024-07-02 15:00:00+00:00,0.0,FLAT,2404.0,False,False,False,True,0,False,False,,False
37655,37654,37656,37664,1,down_shock_failed,2024H2|D_SHOCK_FAILURE|2024-07-05T12:45:00+00:00|1,2024H2,2024-07-05 12:30:00+00:00,2024-07-05 12:45:00+00:00,2024-07-05 14:45:00+00:00,160.823,160.914,85.99999999997976,8.599999999997976,False,False,False,False,False,2024-07-05 12:15:00+00:00,2024-07-05 12:30:00+00:00,2024-07-05 12:30:00+00:00,2024-07-05 12:45:00+00:00,DOWN,LONG,LONDON_NY_OVERLAP,160.69150000000002,3.5074626865673064,23.499999999998522,21.09999999999843,4,3.00_to_lt_4.00,GE_3_BARS,2024-07-05 13:45:00+00:00,-321.0,NEGATIVE,4533.0,False,False,False,True,0,False,False,,False
38082,38081,38083,38091,-1,up_shock_failed,2024H2|D_SHOCK_FAILURE|2024-07-11T23:30:00+00:00|-1,2024H2,2024-07-11 23:15:00+00:00,2024-07-11 23:30:00+00:00,2024-07-12 01:30:00+00:00,158.022,159.246,-1229.000000000018,-122.9000000000018,False,False,True,False,True,2024-07-11 23:00:00+00:00,2024-07-11 23:15:00+00:00,2024-07-11 23:15:00+00:00,2024-07-11 23:30:00+00:00,UP,SHORT,TRANSITION,159.3145,2.512000000000742,15.700000000001069,11.400000000000432,2,2.50_to_lt_3.00,2_BARS,2024-07-12 00:30:00+00:00,-848.0,NEGATIVE,5442.0,True,False,False,False,1,True,False,2024H2|B02|2024-07-11T12:45:00+00:00|-1,False
