fold,h1_state,h4_state,session,side,trades,net_jpy,pf,mean_shock_magnitude_pips,mean_shock_ratio,mean_shock_duration_bars,mean_failure_delay_bars,mean_atr14_pips,mean_directional_persistence_4h,mean_directional_autocorr_24h,mean_time_since_previous_shock_minutes,mean_shock_count_prior_24h,mean_shock_count_prior_7d,mean_time_to_profit_minutes,mean_time_to_mfe_minutes,mean_mfe_pips,mean_mae_pips
2025H1,DOWN,DOWN,LONDON,LONG,1,-643.0,0.0,48.60000000000184,2.833819241982703,2.0,1.0,25.964285714286056,0.25,0.04380471965887,375.0,16.0,38.0,0.1681333333333333,10.3048,21.19999999999891,-73.50000000000136
2025H1,DOWN,DOWN,LONDON_NY_OVERLAP,LONG,2,287.0,4.224719101123595,49.749999999998806,4.053132226192782,3.0,1.0,19.59285714285721,0.1875,0.14381460598824114,472.5,3.0,16.0,0.028516666666666652,73.12767500000001,30.649999999999977,-18.300000000000693
2025H1,DOWN,DOWN,NEW_YORK,LONG,1,140.0,,34.699999999998,2.8211382113818444,3.0,1.0,14.792857142857128,0.25,-0.0484645846321627,420.0,2.0,16.0,0.0,76.2259,19.10000000000025,-3.6000000000001364
2025H1,DOWN,DOWN,TOKYO,SHORT,2,169.0,4.595744680851064,25.800000000000978,3.1675794085429256,1.0,1.0,14.57857142857171,0.3125,-0.017819647657744,172.5,9.0,30.0,0.14684166666666665,30.587416666666662,24.899999999999523,-18.549999999999045
2025H1,DOWN,DOWN,TRANSITION,LONG,3,-252.0,0.35218508997429304,39.50000000000008,3.4229466140516895,2.3333333333333335,1.0,20.311904761904643,0.25,0.09547246173167956,175.0,6.333333333333333,23.666666666666668,0.0033833333333333332,17.163566666666668,11.566666666666947,-33.833333333333826
2025H1,DOWN,UP,LONDON_NY_OVERLAP,LONG,1,953.0,,32.099999999999795,3.4331550802141866,2.0,1.0,23.93571428571448,0.125,0.2068446142757987,15.0,8.0,10.0,0.1867166666666666,117.45791666666668,97.199999999998,-20.90000000000032
2025H1,DOWN,UP,TOKYO,LONG,1,-158.0,0.0,31.89999999999884,2.786026200873444,1.0,1.0,13.500000000000105,0.25,-0.2565575124872095,15.0,7.0,23.0,0.0,0.9276,4.300000000000637,-31.599999999997408
2025H1,UP,DOWN,LONDON,LONG,1,-191.0,0.0,19.80000000000075,2.712328767123112,3.0,1.0,11.842857142856849,0.125,0.0022564889020408,510.0,3.0,17.0,2.2011,2.428616666666667,1.2000000000000457,-24.699999999998568
2025H1,UP,DOWN,TOKYO,LONG,1,-54.0,0.0,28.000000000000117,2.616822429906569,1.0,1.0,14.607142857142565,0.1875,0.010080844336274,390.0,7.0,26.0,1.20225,26.532666666666668,106.89999999999884,-5.500000000000682
2025H1,UP,UP,LONDON_NY_OVERLAP,SHORT,1,-702.0,0.0,105.50000000000068,3.4197730956240635,4.0,1.0,39.364285714285685,0.5,-0.0048263611461619,960.0,2.0,27.0,4.709833333333333,6.293083333333333,23.19999999999993,-94.0000000000026
2025H1,UP,UP,NEW_YORK,SHORT,1,-74.0,0.0,37.999999999999545,3.2067510548519684,1.0,1.0,22.78571428571366,0.125,-0.0810431670758631,15.0,7.0,20.0,3.1487666666666665,4.758483333333333,3.8000000000010914,-35.899999999998045
2025H1,UP,UP,TOKYO,SHORT,2,245.0,1.4588014981273407,31.60000000000025,2.79891774891763,4.0,1.0,13.614285714285352,0.3125,-0.1443416653776823,105.0,6.0,17.5,0.38267499999999993,75.29871666666668,43.200000000000216,-29.650000000000887
2025H2,DOWN,DOWN,LONDON,LONG,1,48.0,,23.19999999999993,3.2222222222220904,1.0,1.0,9.742857142857376,0.125,0.0225641245449147,525.0,2.0,21.0,0.0,86.87776666666667,9.80000000000132,-0.6000000000000227
2025H2,DOWN,DOWN,LONDON,SHORT,1,71.0,,23.89999999999759,3.983333333332781,1.0,1.0,15.757142857142169,0.5,-0.044633634259449,30.0,12.0,24.0,0.0111166666666666,113.45561666666669,15.600000000000591,-28.39999999999918
2025H2,DOWN,DOWN,LONDON_NY_OVERLAP,LONG,2,-339.0,0.0,34.6500000000006,4.235090648854868,5.0,1.0,16.682142857143035,0.0625,0.2112355733567737,15.0,5.5,30.5,0.0285166666666666,20.306275,19.300000000001205,-28.849999999998488
2025H2,DOWN,DOWN,LONDON_NY_OVERLAP,SHORT,2,800.0,,24.69999999999999,3.561904761905023,1.5,1.0,12.38571428571435,0.125,-0.10292790658920295,15.0,4.0,17.5,0.127825,111.04942499999999,42.35000000000042,-28.000000000000114
2025H2,DOWN,DOWN,TOKYO,LONG,4,249.0,2.7412587412587412,28.924999999999557,3.3175675248557535,3.5,1.0,11.880357142857028,0.171875,0.015434264769226802,333.75,4.5,21.5,22.725204166666664,78.38665416666666,25.450000000000017,-17.99999999999997
2025H2,DOWN,DOWN,TOKYO,SHORT,2,398.0,,25.34999999999883,3.3664333087688814,1.0,1.0,9.367857142856906,0.1875,0.04794146918193069,307.5,4.0,26.5,1.70195,71.20391666666667,26.650000000000773,-9.650000000000603
2025H2,DOWN,UP,LONDON_NY_OVERLAP,LONG,1,-215.0,0.0,26.99999999999818,3.624161073825237,1.0,1.0,11.099999999999811,0.125,-0.2317011607400978,15.0,3.0,32.0,1.0076166666666666,7.665450000000001,3.400000000002024,-28.000000000000117
2025H2,DOWN,UP,NEW_YORK,LONG,1,-91.0,0.0,19.80000000000075,2.429447852761089,1.0,1.0,9.971428571428271,0.25,-0.2176385974684295,930.0,3.0,19.0,0.0,69.9428,1.300000000000523,-11.299999999999956
2025H2,DOWN,UP,TRANSITION,LONG,1,-86.0,0.0,11.599999999998545,1.1047619047617243,1.0,1.0,18.42142857142883,0.375,-0.1653623961174231,45.0,1.0,30.0,0.0,7.351333333333333,19.80000000000075,-33.69999999999891
2025H2,UP,DOWN,LONDON_NY_OVERLAP,SHORT,1,85.0,,40.00000000000057,4.040404040404525,1.0,1.0,20.00714285714358,0.0,-0.0979464042494832,15.0,5.0,16.0,6.394566666666666,107.05598333333334,9.300000000001774,-25.7000000000005
