feature,group_a,group_b,n_a,n_b,mean_a,mean_b,standardized_mean_difference,ks_statistic,ks_pvalue,wasserstein_distance,mean_difference_bootstrap_ci95_low,mean_difference_bootstrap_ci95_high
atr14_pips,2023H1+2024H1+2024H2,2025H1+2025H2,79,47,16.499186256781165,15.186018237082038,-0.14903742234707756,0.1518987341772152,0.4466565921936647,2.414322265399562,-4.3127980839521465,1.5470954368819356
atr_percentile_20d,2023H1+2024H1+2024H2,2025H1+2025H2,78,47,0.7201110942865333,0.7016590668392941,-0.07104967595905398,0.16530278232405893,0.3469224218054179,0.03835348034928747,-0.10865607552104421,0.07535481784626821
prior_4h_return_pips,2023H1+2024H1+2024H2,2025H1+2025H2,79,47,-16.348101265822844,-13.944680851063472,0.03451830437908867,0.1723673579315917,0.29999940706826134,11.77945057904671,-21.718186776191196,26.006635469970554
prior_24h_return_pips,2023H1+2024H1+2024H2,2025H1+2025H2,79,47,-40.21645569620258,-10.446808510637867,0.2674827300299512,0.24319956908160517,0.049291737502158234,41.84220307029365,-11.116988284405702,69.58189132776761
directional_persistence_4h,2023H1+2024H1+2024H2,2025H1+2025H2,79,47,0.20332278481012658,0.21010638297872342,0.042683618051030416,0.10880689469431726,0.8271806275918513,0.030416778884998653,-0.04832850794505789,0.059135133315378396
directional_autocorr_24h,2023H1+2024H1+2024H2,2025H1+2025H2,79,47,0.005037892618457949,-0.02022808481780478,-0.16771716717233803,0.14462698626447618,0.5117044143459176,0.02907026039235465,-0.08118963254318405,0.03177238353035026
distance_prior_day_high_pips,2023H1+2024H1+2024H2,2025H1+2025H2,79,47,-79.11645569620235,-57.62553191489333,0.2015762112155267,0.11796391058443308,0.7486030883538505,24.846377592243563,-15.812374764341685,61.514981147320306
distance_prior_day_low_pips,2023H1+2024H1+2024H2,2025H1+2025H2,79,47,24.52151898734197,53.64680851063847,0.28541567115426963,0.18448693778615674,0.2309421358888745,29.361971451656306,-7.486128467546691,66.3320354161056
gap_from_prior_close_pips,2023H1+2024H1+2024H2,2025H1+2025H2,79,47,-24.910126582278487,-4.380851063829722,0.25664105233173257,0.1672502019929976,0.33474983215690884,23.974737409103266,-6.986575545380985,50.33781039590643
time_since_previous_shock_minutes,2023H1+2024H1+2024H2,2025H1+2025H2,79,47,343.67088607594934,356.48936170212767,0.016576875816457975,0.1855642337732292,0.2249315654962187,144.72798276326418,-240.1310934554269,254.27120926474547
shock_count_prior_24h,2023H1+2024H1+2024H2,2025H1+2025H2,79,47,6.3544303797468356,5.340425531914893,-0.19340201636743667,0.12173444653918664,0.7156094644677433,1.212227309453272,-2.9058577969297064,0.6112240775653108
mfe_pips,2023H1+2024H1+2024H2,2025H1+2025H2,79,47,35.71898734177181,22.142553191489686,-0.3255254902263829,0.21869108537570697,0.09900719554969059,13.663802854833785,-28.0073350390513,-1.5291846215991165
mae_pips,2023H1+2024H1+2024H2,2025H1+2025H2,79,47,-21.126582278481152,-24.8617021276597,-0.16253423399663272,0.15970913008349044,0.3869459442354356,5.16070562887142,-11.995121195798665,4.442464314570391
profit_giveback_pips,2023H1+2024H1+2024H2,2025H1+2025H2,79,47,19.055696202531543,24.880851063830242,0.2539464885026387,0.18152437382170752,0.2464037842117503,6.335523835174089,-2.6194640452458375,14.484940075411187
