trades,net,pf,win_rate,median,gross_profit,gross_loss,mdd,mean_mfe_pips,mean_mae_pips,profit_then_giveback_rate,immediate_failure_rate,timeout_truncation_rate,positive_months,fold,session
10,1469.9999999999136,14.611111111109794,0.8,108.99999999999466,1577.9999999999177,-108.00000000000409,63.0000000000166,29.339999999998838,-14.300000000000637,0.4,0.0,0.0,5,2024H1,TOKYO
1,552.9999999999973,,1.0,552.9999999999973,552.9999999999973,0.0,0.0,63.80000000000052,-81.69999999999789,0.0,0.0,0.0,1,2024H1,TRANSITION
5,-2.8421709430404007e-11,0.9999999999999486,0.4,-100.99999999999908,552.9999999999688,-552.9999999999973,136.0000000000241,20.459999999999354,-37.88000000000068,0.2,0.2,0.0,1,2024H2,LONDON
14,4811.999999999925,11.961275626422985,0.8571428571428571,176.9999999999925,5250.999999999946,-439.0000000000214,225.9999999999991,54.83571428571423,-12.349999999999893,0.21428571428571427,0.0,0.0,4,2024H2,LONDON_NY_OVERLAP
1,158.9999999999918,,1.0,158.9999999999918,158.9999999999918,0.0,0.0,20.699999999999363,-24.100000000001387,0.0,0.0,0.0,1,2024H2,NEW_YORK
7,4495.999999999953,7.142076502731943,0.7142857142857143,78.99999999997931,5227.99999999998,-732.0000000000277,615.0000000000091,87.54285714285653,-20.10000000000056,0.2857142857142857,0.0,0.0,3,2024H2,TOKYO
1,-1231.999999999999,0.0,0.0,-1231.999999999999,0.0,-1231.999999999999,0.0,3.099999999997749,-139.9000000000001,0.0,0.0,0.0,0,2024H2,TRANSITION
2,-834.0,0.0,0.0,-417.0,0.0,-834.0,643.0,11.199999999999477,-49.099999999999966,0.0,0.0,0.0,0,2025H1,LONDON
4,538.0,1.6801517067003793,0.5,143.5,1329.0,-791.0,791.0,45.42499999999947,-37.87500000000108,0.25,0.0,0.0,1,2025H1,LONDON_NY_OVERLAP
2,66.0,1.8918918918918919,0.5,33.0,140.0,-74.0,0.0,11.45000000000067,-19.74999999999909,0.0,0.0,0.0,1,2025H1,NEW_YORK
6,202.0,1.2547288776796974,0.3333333333333333,-50.5,995.0,-793.0,739.0,41.23333333333316,-22.24999999999966,0.16666666666666666,0.0,0.0,2,2025H1,TOKYO
3,-252.0,0.35218508997429304,0.3333333333333333,-173.0,137.0,-389.0,389.0,11.566666666666947,-33.833333333333826,0.0,0.0,0.0,1,2025H1,TRANSITION
5,-1567.0,0.07058125741399762,0.4,-198.0,119.0,-1686.0,1125.0,10.280000000000769,-40.160000000000196,0.2,0.0,0.0,0,2025H2,LONDON
10,343.0,1.4097968936678613,0.6,19.0,1180.0,-837.0,338.0,21.17000000000104,-21.449999999999818,0.3,0.0,0.0,3,2025H2,LONDON_NY_OVERLAP
4,-47.0,0.678082191780822,0.25,-27.5,99.0,-146.0,91.0,11.200000000000188,-5.57500000000033,0.75,0.0,0.0,1,2025H2,NEW_YORK
9,128.0,1.1933534743202416,0.3333333333333333,-52.0,790.0,-662.0,577.0,19.21111111111126,-18.17777777777836,0.3333333333333333,0.0,0.0,2,2025H2,TOKYO
2,146.0,2.697674418604651,0.5,73.0,232.0,-86.0,86.0,25.40000000000049,-21.54999999999916,0.0,0.0,0.0,1,2025H2,TRANSITION
