candidate_id,family,horizon_bars,support_gate,core_gate,full_gate,minimum_fold_trades,minimum_fold_default_net_pips,minimum_fold_severe_net_pips,fourfold_default_net_pips,fourfold_severe_net_pips,full_gate_folds
R1A05_impulse_lb48_med24_x15,impulse_breakout,48,True,False,False,457,-2210.100000,-3136.100000,5475.213768,1482.841303,0
R1B01_legacy_asia_00_06_breakout,session_range_breakout,1,True,False,False,110,-65.363168,-308.469728,1.246923,-984.959230,0
R1B01_legacy_asia_00_06_breakout,session_range_breakout,2,True,False,False,110,-191.800000,-445.800000,-55.903077,-1042.109230,0
R1B01_legacy_asia_00_06_breakout,session_range_breakout,3,True,False,False,110,-492.000000,-746.000000,-309.853077,-1296.059230,0
R1B01_legacy_asia_00_06_breakout,session_range_breakout,4,True,False,False,110,-378.000000,-632.000000,-170.203077,-1156.409230,0
R1B01_legacy_asia_00_06_breakout,session_range_breakout,6,True,False,False,110,-443.100000,-697.100000,72.946923,-913.259230,0
R1B01_legacy_asia_00_06_breakout,session_range_breakout,8,True,False,False,110,-660.400000,-914.400000,-54.403077,-1040.609230,1
R1B01_legacy_asia_00_06_breakout,session_range_breakout,12,True,False,False,110,-570.600000,-824.600000,77.096923,-909.109230,2
R1B01_legacy_asia_00_06_breakout,session_range_breakout,16,True,False,False,110,-970.000000,-1224.000000,-529.403077,-1515.609230,1
R1B01_legacy_asia_00_06_breakout,session_range_breakout,24,True,False,False,110,-939.700000,-1193.700000,-1164.903077,-2151.109230,0
R1B01_legacy_asia_00_06_breakout,session_range_breakout,32,True,False,False,110,-1363.300000,-1617.300000,-161.003077,-1147.209230,2
R1B01_legacy_asia_00_06_breakout,session_range_breakout,48,True,False,False,108,-1445.400000,-1699.400000,48.688888,-931.033337,2
R1B02_legacy_asia_00_07_breakout,session_range_breakout,1,True,False,False,99,-8.076864,-219.930593,192.059980,-721.620059,0
R1B02_legacy_asia_00_07_breakout,session_range_breakout,2,True,False,False,99,-143.000000,-387.000000,190.459980,-723.220059,0
R1B02_legacy_asia_00_07_breakout,session_range_breakout,3,True,False,False,99,-379.600000,-623.600000,19.909980,-893.770059,0
R1B02_legacy_asia_00_07_breakout,session_range_breakout,4,True,False,False,99,-257.600000,-501.600000,78.259980,-835.420059,0
R1B02_legacy_asia_00_07_breakout,session_range_breakout,6,True,False,False,99,-341.600000,-585.600000,119.309980,-794.370059,0
R1B02_legacy_asia_00_07_breakout,session_range_breakout,8,True,False,False,99,-481.600000,-725.600000,183.909980,-729.770059,1
R1B02_legacy_asia_00_07_breakout,session_range_breakout,12,True,False,False,99,-562.400000,-806.400000,229.809980,-683.870059,2
R1B02_legacy_asia_00_07_breakout,session_range_breakout,16,True,False,False,99,-687.500000,-931.500000,99.909980,-813.770059,2
R1B02_legacy_asia_00_07_breakout,session_range_breakout,24,True,False,False,99,-721.300000,-965.300000,120.809980,-792.870059,2
R1B02_legacy_asia_00_07_breakout,session_range_breakout,32,True,False,False,99,-1235.300000,-1479.300000,1256.959980,343.279941,3
R1B02_legacy_asia_00_07_breakout,session_range_breakout,48,True,False,False,97,-1418.800000,-1660.800000,1158.001945,252.805835,2
R1B03_legacy_prior_day_breakout,session_range_breakout,1,True,False,False,93,-349.900000,-589.900000,-413.381589,-1299.844766,0
R1B03_legacy_prior_day_breakout,session_range_breakout,2,True,False,False,93,-569.400000,-809.400000,-429.731589,-1316.194766,1
R1B03_legacy_prior_day_breakout,session_range_breakout,3,True,False,False,93,-681.200000,-921.200000,-472.731589,-1359.194766,1
R1B03_legacy_prior_day_breakout,session_range_breakout,4,True,False,False,93,-597.900000,-837.900000,11.418411,-875.044766,1
R1B03_legacy_prior_day_breakout,session_range_breakout,6,True,False,False,93,-1046.500000,-1286.500000,-319.731589,-1206.194766,1
R1B03_legacy_prior_day_breakout,session_range_breakout,8,True,False,False,93,-855.200000,-1095.200000,-431.181589,-1317.644766,1
R1B03_legacy_prior_day_breakout,session_range_breakout,12,True,False,False,93,-839.300000,-1079.300000,-556.931589,-1443.394766,0
