opportunity_id,fold,date,side,side_label,reason,signal_utc,entry_utc,exit_utc,signal_i,entry_i,exit_i,asian_high,asian_low,asian_bar_count,signal_open,signal_high,signal_low,signal_close,entry_bid_atlas,exit_bid_atlas,atlas_net_pips,atlas_normalized_pl_jpy
2024H1|F_ASIAN_RANGE_SWEEP|2024-02-13T13:30:00+00:00|1,2024H1,2024-02-13,1,LONG,asian_low,2024-02-13 13:15:00+00:00,2024-02-13 13:30:00+00:00,2024-02-13 16:30:00+00:00,27766,27767,27779,149.577,149.28,28,149.3,149.342,149.274,149.31,149.309,150.679,136.50000000000045,1365.0000000000045
2024H1|F_ASIAN_RANGE_SWEEP|2024-02-14T07:30:00+00:00|1,2024H1,2024-02-14,1,LONG,asian_low,2024-02-14 07:15:00+00:00,2024-02-14 07:30:00+00:00,2024-02-14 10:30:00+00:00,27838,27839,27851,150.775,150.416,28,150.398,150.474,150.343,150.436,150.435,150.668,22.80000000000041,228.0000000000041
2024H1|F_ASIAN_RANGE_SWEEP|2024-02-15T07:15:00+00:00|1,2024H1,2024-02-15,1,LONG,asian_low,2024-02-15 07:00:00+00:00,2024-02-15 07:15:00+00:00,2024-02-15 10:15:00+00:00,27933,27934,27946,150.555,150.075,28,150.091,150.138,150.053,150.132,150.134,150.072,-6.69999999999834,-66.9999999999834
2024H1|F_ASIAN_RANGE_SWEEP|2024-02-16T13:30:00+00:00|-1,2024H1,2024-02-16,-1,SHORT,asian_high,2024-02-16 13:15:00+00:00,2024-02-16 13:30:00+00:00,2024-02-16 16:30:00+00:00,28054,28055,28067,150.365,149.923,28,150.323,150.372,150.317,150.33,150.329,150.281,4.300000000000182,43.00000000000182
2024H1|F_ASIAN_RANGE_SWEEP|2024-02-19T19:15:00+00:00|-1,2024H1,2024-02-19,-1,SHORT,asian_high,2024-02-19 19:00:00+00:00,2024-02-19 19:15:00+00:00,2024-02-19 22:15:00+00:00,28173,28174,28186,150.147,149.871,28,150.151,150.156,150.13,150.144,150.143,150.131,0.7000000000000455,7.000000000000455
2024H1|F_ASIAN_RANGE_SWEEP|2024-02-20T11:30:00+00:00|1,2024H1,2024-02-20,1,LONG,asian_low,2024-02-20 11:15:00+00:00,2024-02-20 11:30:00+00:00,2024-02-20 14:30:00+00:00,28238,28239,28251,150.437,150.191,28,150.189,150.225,150.176,150.217,150.217,149.811,-41.10000000000059,-411.0000000000059
2024H1|F_ASIAN_RANGE_SWEEP|2024-02-21T07:15:00+00:00|-1,2024H1,2024-02-21,-1,SHORT,asian_high,2024-02-21 07:00:00+00:00,2024-02-21 07:15:00+00:00,2024-02-21 10:15:00+00:00,28317,28318,28330,150.091,149.851,28,150.059,150.103,150.025,150.047,150.047,150.087,-4.499999999999204,-44.99999999999204
2024H1|F_ASIAN_RANGE_SWEEP|2024-02-22T08:45:00+00:00|1,2024H1,2024-02-22,1,LONG,asian_low,2024-02-22 08:30:00+00:00,2024-02-22 08:45:00+00:00,2024-02-22 11:45:00+00:00,28419,28420,28432,150.456,150.203,28,150.136,150.243,150.064,150.237,150.236,150.219,-2.1999999999995907,-21.999999999995907
2024H1|F_ASIAN_RANGE_SWEEP|2024-02-22T13:30:00+00:00|-1,2024H1,2024-02-22,-1,SHORT,asian_high,2024-02-22 13:15:00+00:00,2024-02-22 13:30:00+00:00,2024-02-22 16:30:00+00:00,28438,28439,28451,150.456,150.203,28,150.427,150.469,150.406,150.436,150.435,150.536,-10.599999999999909,-105.99999999999909
2024H1|F_ASIAN_RANGE_SWEEP|2024-02-23T09:00:00+00:00|-1,2024H1,2024-02-23,-1,SHORT,asian_high,2024-02-23 08:45:00+00:00,2024-02-23 09:00:00+00:00,2024-02-23 12:00:00+00:00,28516,28517,28529,150.65,150.37,28,150.656,150.674,150.624,150.626,150.626,150.654,-3.2999999999991587,-32.99999999999159
