dimension,value,side,trades,net_jpy,pf,mdd_jpy,win_rate,median_jpy,positive_folds,positive_months,minimum_fold_net_jpy,median_mae_pips,median_mfe_pips,reclaim_rate,bootstrap_lower95_jpy
sweep_bin,"(0.099, 2.0]",SHORT,93,-3480.00000000019,0.6865994236311089,6031.000000000146,0.46236559139784944,-10.99999999999568,2,9,-2291.0000000001105,-13.500000000001933,11.400000000000432,1.0,-10162.550000000174
sweep_bin,"(2.0, 4.3]",SHORT,76,-891.0000000000196,0.87861035422343,3383.0000000000095,0.39473684210526316,-21.499999999988972,2,7,-1750.0,-16.64999999999992,11.15000000000208,1.0,-5276.4750000000895
sweep_bin,"(4.3, 8.15]",SHORT,72,-6923.00000000003,0.4079363721884898,6999.000000000051,0.3611111111111111,-91.99999999999875,1,6,-4495.000000000062,-20.299999999998875,15.399999999999636,1.0,-11743.400000000018
sweep_bin,"(8.15, 61.5]",SHORT,65,2751.9999999999527,1.3966560968578763,2710.000000000008,0.47692307692307695,-7.000000000005002,3,10,-1802.9999999999973,-21.100000000001273,21.20000000000175,1.0,-2662.4750000001122
time_bin,"[6, 9)",LONG,102,6586.000000000211,1.8903609571448183,1549.9999999999836,0.5686274509803921,40.00000000000625,4,18,1424.0000000000066,-12.099999999999511,21.300000000000807,1.0,1551.075000000011
time_bin,"[9, 12)",LONG,46,-271.99999999996294,0.956015523932736,2149.000000000001,0.45652173913043476,-31.999999999996476,2,10,-437.99999999995975,-21.84999999999917,15.299999999999159,1.0,-5080.125000000111
time_bin,"[12, 16)",LONG,76,6659.000000000135,1.8357178714859648,1836.999999999989,0.6052631578947368,43.99999999999693,3,16,-319.99999999993634,-18.899999999999295,20.699999999999363,1.0,-212.27499999995337
time_bin,"[16, 20)",LONG,16,601.999999999947,1.4387755102040294,937.0000000000118,0.5625,15.000000000000568,2,6,-736.0000000000184,-12.099999999999511,13.2000000000005,1.0,-1262.4000000000287
time_bin,nan,LONG,1,75.00000000001705,,0.0,1.0,75.00000000001705,1,1,75.00000000001705,-4.4999999999987494,13.400000000001455,1.0,75.00000000001705
time_bin,"[6, 9)",SHORT,126,-5745.000000000087,0.599064833554325,6779.000000000084,0.4126984126984127,-19.99999999999602,0,6,-2737.9999999999995,-15.000000000000568,12.250000000000227,1.0,-11695.550000000023
time_bin,"[9, 12)",SHORT,67,-4634.000000000042,0.5368778732760314,5338.000000000022,0.3582089552238806,-49.000000000006594,0,5,-1747.000000000014,-19.600000000002638,11.899999999999977,1.0,-9945.475000000162
time_bin,"[12, 16)",SHORT,90,1784.9999999997974,1.156675151408741,2564.0000000000214,0.4888888888888889,-2.500000000011937,2,13,-1533.0000000000155,-20.650000000000546,25.399999999999068,1.0,-5215.3500000003
time_bin,"[16, 20)",SHORT,23,52.00000000004934,1.0386043058649213,626.9999999999811,0.43478260869565216,-12.000000000000455,2,6,-337.99999999999386,-11.899999999999977,7.699999999999818,1.0,-1448.0999999999526
