candidate_id,family,definition_sha256,horizon_bars,trades,win_rate,avg_gross_pips,avg_default_net_pips,total_default_net_pips,avg_severe_net_pips,total_severe_net_pips,median_default_net_pips,avg_mfe_pips,avg_mae_pips,median_mfe_pips,median_mae_pips,avg_bars_to_mfe,avg_bars_to_mae,q05_default_net_pips,q95_default_net_pips,default_profit_factor,severe_profit_factor,total_excluding_best_utc_day,total_excluding_best_two_utc_days,positive_months,minimum_monthly_trades
R1A01_legacy_impulse_lb3_ny,impulse_breakout,6bec510204b6918a5b46e722969db1b490d4be5ad11730cb005626e4483a9115,48,371,0.458221024259,1.289083557951,0.706761049302,262.208349290895,-1.457883967998,-540.874952127179,-2.500000000001,38.979245283019,-33.084501347709,25.999999999999,-21.449999999999,21.247978436658,22.477088948787,-66.828708507714,72.750000000000,1.045269184080,0.913265579514,-151.754849230013,-466.124240709527,3,52
R1A02_impulse_lb6_med8_x1,impulse_breakout,b388fbae3bf4d437e4428ee977c7866943eb8b10d6d851ba7005c764af6eaa71,1,1570,0.436305732484,0.217038216560,-0.388855550743,-610.503214667119,-2.600643085351,-4083.009644001078,-0.849999999997,6.108980891720,-5.508184713376,3.650000000002,-3.775000000000,0.975159235669,0.978343949045,-11.471270226535,12.211423858177,0.872965908069,0.421354076047,-845.238223443170,-1005.865916612664,2,241
R1A02_impulse_lb6_med8_x1,impulse_breakout,b388fbae3bf4d437e4428ee977c7866943eb8b10d6d851ba7005c764af6eaa71,2,1570,0.455414012739,0.274777070064,-0.331116697240,-519.853214667068,-2.542904231848,-3992.359644001027,-0.806526243095,8.530891719745,-8.024363057325,5.149999999999,-5.599999999998,1.438216560510,1.491719745223,-16.882849135917,17.750554638677,0.919658885847,0.534848099057,-862.430907836565,-1198.765916612621,2,241
R1A02_impulse_lb6_med8_x1,impulse_breakout,b388fbae3bf4d437e4428ee977c7866943eb8b10d6d851ba7005c764af6eaa71,3,1570,0.463057324841,0.236624203822,-0.369269563482,-579.753214667008,-2.581057098090,-4052.259644000967,-0.805546099427,10.434713375796,-9.927547770701,6.675000000000,-6.850000000000,1.936942675159,1.977707006369,-21.232925812315,21.533087445141,0.927397935938,0.595897033532,-1003.980907836506,-1253.415916612566,3,241
R1A02_impulse_lb6_med8_x1,impulse_breakout,b388fbae3bf4d437e4428ee977c7866943eb8b10d6d851ba7005c764af6eaa71,4,1570,0.459872611465,0.514840764331,-0.091053002973,-142.953214667039,-2.302840537580,-3615.459644000999,-0.939667892978,11.992866242038,-11.423439490446,7.700000000000,-7.900000000001,2.366242038217,2.450318471338,-24.289461668547,25.063220069433,0.983730298849,0.665353623323,-634.480907836535,-910.198461019748,3,241
R1A02_impulse_lb6_med8_x1,impulse_breakout,b388fbae3bf4d437e4428ee977c7866943eb8b10d6d851ba7005c764af6eaa71,6,1570,0.468789808917,0.399426751592,-0.206467015711,-324.153214666964,-2.418254550319,-3796.659644000923,-1.141420990565,14.419140127389,-13.646719745223,9.125000000000,-9.199999999998,3.245222929936,3.359235668790,-30.293927086359,30.830822443512,0.969448423685,0.698411528797,-868.380907836470,-1216.998461019689,3,241
R1A02_impulse_lb6_med8_x1,impulse_breakout,b388fbae3bf4d437e4428ee977c7866943eb8b10d6d851ba7005c764af6eaa71,8,1569,0.463989802422,0.089483747610,-0.516477510941,-810.353214667017,-2.728400028044,-4280.859644000976,-1.302959641255,16.188846398980,-15.494104525175,10.400000000001,-10.100000000000,4.094327597196,4.244104525175,-34.017903133708,33.544525689322,0.933817084616,0.698786846780,-1323.330907836517,-1757.726169877567,3,241
R1A02_impulse_lb6_med8_x1,impulse_breakout,b388fbae3bf4d437e4428ee977c7866943eb8b10d6d851ba7005c764af6eaa71,12,1565,0.469648562300,0.251309904153,-0.352759723553,-552.068967360053,-2.560898978965,-4007.806902080112,-1.038540332907,19.609552715655,-18.888466453674,12.549999999999,-12.500000000000,5.791693290735,6.025559105431,-39.950942621215,39.021472721959,0.962081190065,0.757000224834,-1038.710331134199,-1494.855593175243,3,241
R1A02_impulse_lb6_med8_x1,impulse_breakout,b388fbae3bf4d437e4428ee977c7866943eb8b10d6d851ba7005c764af6eaa71,16,1563,0.480486244402,0.839475367882,0.236936043338,370.331035737669,-1.968142605750,-3076.206892786979,-0.964397905758,22.525495841331,-21.067562380038,14.299999999997,-14.200000000000,7.535508637236,7.692898272553,-44.438619445070,48.642015114954,1.023253828182,0.827211020138,-325.010328036479,-896.560583724172,3,241
R1A02_impulse_lb6_med8_x1,impulse_breakout,b388fbae3bf4d437e4428ee977c7866943eb8b10d6d851ba7005c764af6eaa71,24,1558,0.485879332478,0.809724005135,0.208918571051,325.495133696754,-1.992692297118,-3104.614598909704,-0.848060246461,27.980616174583,-25.636264441592,18.299999999999,-17.250000000001,11.427471116816,11.568677792041,-59.040551735300,61.788615879560,1.016351528259,0.857235916425,-503.246230077394,-1079.791492118444,2,239
R1A02_impulse_lb6_med8_x1,impulse_breakout,b388fbae3bf4d437e4428ee977c7866943eb8b10d6d851ba7005c764af6eaa71,32,1553,0.498390212492,2.606406954282,2.005431010070,3114.434358638633,-0.196520878354,-305.196924083703,-0.203745928340,34.698873148744,-30.467675466838,21.650000000002,-20.900000000000,15.649066323245,15.878943979395,-64.449555155612,78.622331182795,1.134676184451,0.987747577371,1541.839096597588,129.138840909902,3,238
R1A02_impulse_lb6_med8_x1,impulse_breakout,b388fbae3bf4d437e4428ee977c7866943eb8b10d6d851ba7005c764af6eaa71,48,1528,0.497382198953,2.956773560209,2.357795913224,3602.712155406983,0.159840619255,244.236466221070,-0.312120624209,41.436976439791,-37.722185863874,27.650000000000,-25.999999999999,22.853403141361,23.225130890052,-81.052525774767,99.271079496090,1.132500417281,1.008447802645,2195.409163578119,894.367799803976,3,234
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,1,978,0.436605316973,0.140899795501,-0.471648645129,-461.272374935907,-2.696745526388,-2637.417124807559,-1.009528145156,6.872648261759,-6.244069529652,4.175000000001,-4.250000000002,0.980572597137,0.976482617587,-13.302770733380,12.841632678129,0.862791560139,0.443654955358,-607.535118290123,-700.153926766384,1,145
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,2,978,0.460122699387,0.332055214724,-0.280493225906,-274.322374935880,-2.505590107165,-2450.467124807531,-0.806526243095,9.449948875256,-8.895092024540,5.799999999999,-6.349999999999,1.439672801636,1.487730061350,-18.073935839820,19.247138404995,0.936222481885,0.562437837813,-591.035118290098,-809.703926766366,2,145
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,3,978,0.451942740286,0.121114519427,-0.491433921202,-480.622374935853,-2.716530802462,-2656.767124807505,-1.220059494067,11.530112474438,-11.133231083845,7.524999999998,-7.899999999999,1.915132924335,1.978527607362,-22.573340360383,23.323557801284,0.913569767226,0.611951158645,-745.935118290073,-1007.353926766342,2,145
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,4,978,0.461145194274,0.597648261759,-0.014900178871,-14.572374935871,-2.239997060130,-2190.717124807523,-0.805675494556,13.263854805726,-12.700511247444,8.600000000003,-8.574999999999,2.358895705521,2.436605316973,-27.461535299480,28.120797546013,0.997574043501,0.698032245686,-314.291183412138,-573.039382280021,2,145
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,6,978,0.469325153374,0.342689161554,-0.269859279075,-263.922374935819,-2.494956160335,-2440.067124807470,-1.136386986301,15.798159509202,-14.974437627812,10.400000000000,-10.100000000000,3.191206543967,3.362985685072,-33.827289431820,33.487515952598,0.963637215639,0.712706052104,-634.070573803699,-953.839382279972,3,145
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,8,977,0.471852610031,0.229631525077,-0.383032113547,-374.222374935890,-2.608359390796,-2548.367124807542,-1.117491749176,17.609467758444,-16.774513817810,11.399999999998,-11.199999999997,4.019447287615,4.204708290686,-35.426332916146,36.653757560251,0.954125126158,0.728062573629,-807.517636976938,-1163.765835844820,3,145
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,12,976,0.476434426230,1.093698770492,0.480919697812,469.377625064131,-1.744638447549,-1702.767124807521,-0.644483041654,21.331352459016,-19.712295081967,13.475000000000,-13.050000000001,5.617827868852,5.855532786885,-40.832585537119,43.278475303860,1.050691979000,0.837151550077,26.882363023087,-414.752756316579,3,145
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,16,975,0.491282051282,1.821076923077,1.210697985438,1180.430535801576,-1.010059889841,-984.808392595302,-0.457481018314,24.346205128205,-21.752410256410,15.350000000001,-14.849999999998,7.368205128205,7.391794871795,-42.841763038211,50.440492227979,1.118460257518,0.911448330487,536.830073494416,-56.838709634569,3,144
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,24,972,0.482510288066,1.284567901235,0.673937061518,655.066823795403,-1.547324617915,-1503.999528613760,-0.848060246463,29.623508230453,-26.554783950617,19.000000000000,-17.825000000001,11.271604938272,11.444444444444,-57.896289053859,64.056882337811,1.050980249021,0.892675648158,-41.801959333583,-613.047221374629,3,144
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,32,969,0.505675954592,3.813622291022,3.202748116881,3103.462925258169,0.980999768601,950.588775774819,0.150000000002,37.257017543860,-31.393911248710,22.199999999998,-21.899999999999,15.625386996904,15.798761609907,-66.028907833839,80.682489626556,1.210934707849,1.060078348953,1517.167663217127,138.517200909968,3,144
R1A03_impulse_lb12_med12_x125,impulse_breakout,36e26515e5598753148b4dc9822bcf6015d332e58b917587fe4087fe4ee7fa75,48,949,0.510010537408,4.847787144362,4.239058481650,4022.866499085689,2.021601156225,1918.499497257099,1.043146853150,44.350210748156,-38.157165437302,28.350000000000,-26.600000000002,23.062170706006,22.859852476291,-81.692662335450,102.368319962153,1.237869448077,1.106832732633,2902.947715956709,1852.202453915667,4,142
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,1,754,0.448275862069,0.155039787798,-0.456365583171,-344.099649711149,-2.679176325110,-2020.098949133272,-1.040130151845,7.080305039788,-6.395092838196,4.550000000000,-4.375000000000,0.978779840849,0.976127320955,-13.243520330844,13.606067980251,0.867961267147,0.446242375012,-414.519724929752,-471.991595616724,2,111
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,2,754,0.473474801061,0.245092838196,-0.366312532773,-276.199649711094,-2.589123274712,-1952.198949133218,-0.439928741093,9.663063660477,-9.004376657825,6.549999999999,-6.499999999998,1.445623342175,1.470822281167,-18.177848987563,18.181874573677,0.916249200300,0.543291696039,-395.269724929695,-489.942294167352,2,111
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,3,754,0.456233421751,-0.039124668435,-0.650530039405,-490.499649711077,-2.873340781344,-2166.498949133201,-1.220059494067,11.573010610080,-11.305636604775,7.999999999998,-8.050000000001,1.920424403183,1.956233421751,-22.764754600849,23.013843832870,0.885545289834,0.587463250678,-610.419724929681,-703.989868362870,3,111
