candidate_id,family,definition_sha256,horizon_bars,trade_rows,trade_ledger_sha256
R1A04_impulse_lb24_med16_x125,impulse_breakout,f4be49b45f562ef8b3b1eda813bbb399c2d3552dd178f44789aeb620b73835ec,48,739,566aef965739d896657e1fe10617124b2520efe27042e3302bc381d6a336fdbd
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,1,469,7155bd2294cfcdc93df3e81d5fe948c44debd305d77b25b35cf45227982fc68d
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,2,469,fcedb17a1e95b310544fb14f202497fea1fd0f5f948c165cf2aa6d2e5a078729
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,3,469,8f37a47162fa0094340a0c3363bdad4faa681070ff67e26727c4010462e95fa7
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,4,469,c6a98809b560f0bf1fea111ed4cd173508d0c01923a16bafb5a42a78c1029db2
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,6,469,726b0548aefe764eb52e7634a11277ccf1393644e13eee4ed2bd931fec4fb2f1
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,8,469,0aaec47190c2eb981abd25e2803f7382f214a5f2c361754201fb9ecf9ab74c81
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,12,469,fc1e37a1da7ce3adc0a9d5be214b922abcc697938e9f53d71acbb3712162b238
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,16,469,37cbe947e536c16b36e07fd9e4996cdb5c69d9c5ac9bebdbe862ebbd37b0c965
R1A05_impulse_lb48_med24_x15,impulse_breakout,1c5a71752aadaa97e5dce72538244e10ed7019080f5378c5fe10327e027b992b,24,469,6972047f10a9900d72d0cb1a0bb5c2ba135c16c3bb06ebacae6fbc53803216b8
