candidate_id,family,definition_sha256,reported_horizons,horizons_with_trades,positive_default_horizons,positive_severe_horizons,longest_positive_default_run,diagnostic_best_horizon_bars,best_avg_default_net_pips,hold6_avg_default_net_pips,total_trade_rows_across_horizons
R1H04_ramom_32_64_z125,volatility_adjusted_momentum,72b1ce40434c8d8869a1546d72051fdd2224e81fc7124d7af2255067e11f89d6,11,11,9,7,9,32,12.874060021489,2.348940827204,1613
R1H05_ramom_48_96_z125,volatility_adjusted_momentum,cc2455296b4036f3c4eee7eb5bf8078bf4bcc925533b6025d409929688188aa9,11,11,6,5,4,12,3.973241296954,2.811241296954,1368
R1I01_boll_reentry_16_z15,bollinger_reentry_reversion,825a41751445974bcad1dc1fea845e2dd8b75d4b7634c2ab983187ede34957fd,11,11,0,0,0,1,-0.670297324833,-1.322545451395,13174
R1I02_boll_reentry_24_z15,bollinger_reentry_reversion,542c5e7ae0bd31f4b30f3e6795efdd8396eefcec57d2f76ee0599adf311e3e09,11,11,0,0,0,3,-0.723648035869,-0.837421959440,10860
R1I03_boll_reentry_32_z2,bollinger_reentry_reversion,d53e4386fc53a9b43883d8144b38f80fbfea29dfc82c8482ea3ee8d43923c651,11,11,0,0,0,1,-0.323458314422,-0.863310166274,7401
R1I04_boll_reentry_48_z2,bollinger_reentry_reversion,d18e6bc755c7b28ff002559b5f0257d13dc6475cdb06ae6a1f6b00301fbed391,11,11,0,0,0,2,-0.546478745789,-1.856864775201,5968
R1I05_boll_reentry_64_z225,bollinger_reentry_reversion,0960cc1c912a5fc793e2a6f8adf301e5a174897f52bbc77e78cf19fe0de056b6,11,11,0,0,0,2,-0.828819205543,-1.668760033945,3705
R1J01_shockrev_1_x15,return_shock_reversal,1e394077ccbd99f2be76b7f430b03d91032f20bea5ab8ad6fbefd076397b966c,11,11,0,0,0,2,-1.475294154270,-1.584341773317,2308
R1J02_shockrev_2_x15,return_shock_reversal,d27511da469608e0d7a00aa2f9d0ff80cc4a942f8c9902929d15dc4c2df6b536,11,11,0,0,0,1,-0.934893379822,-1.618514069478,5732
R1J03_shockrev_4_x15,return_shock_reversal,93a643c601fb56d8094588d62490f9d3767e176c52c25599d282a9cf40fd75b2,11,11,0,0,0,8,-0.517760950028,-0.738699502209,10312
R1J04_shockrev_4_x2,return_shock_reversal,268e14aa85a3ba2af085a411e9eff228c81dfb8b140b3388dee5ff26081fe327,11,11,0,0,0,8,-0.565985010949,-0.864650491376,6163
R1J05_shockrev_8_x2,return_shock_reversal,a13f0781f1a42f9717fc4382b54a0f11dcde2d532c27fb9d8e566eaff368622b,11,11,0,0,0,1,-0.626574776457,-1.529221552203,11386
R1K01_asia_to_london_cont,session_handoff,d966e56b90a6e0d8bb6913e9777f25a6141d84bdbebe31031e174a1440666275,11,11,5,3,3,48,13.529650488885,1.361908553401,341
R1K02_asia_to_london_rev,session_handoff,f8cde777dfb0945e8ade838073d92a65106ea384ad6918e1965e397ea22e90f1,11,11,5,2,4,2,4.523884711684,-0.938615288315,220
R1K03_london_to_ny_cont,session_handoff,b4c79f8a68e1fea6e2c128f95466614db5e67dcb419c615ac52bcc09cedf0448,11,11,8,6,8,32,16.202805437548,2.095974118923,273
R1K04_london_to_ny_rev,session_handoff,72e054a3355caa2821d70d47dfb9d8f34b6bcdb1c8b809e83ff4e202651c4c68,11,11,1,0,1,48,0.791412396368,-4.548972219017,286
R1L01_filter_atr05,atr_filter_directional_change,2831dc1bd921fbc488b5699dd049d16929fc40038071804937d68a2db409304b,11,11,0,0,0,1,-0.603830307374,-0.799349175298,27886
R1L02_filter_atr075,atr_filter_directional_change,1b6dbafcf594db890c772e665b1902e37ebdc6881ee9f4c2d2f9245c472278e0,11,11,0,0,0,1,-0.725264133701,-1.038756197193,20034
R1L03_filter_atr10,atr_filter_directional_change,5caf8703d5ff347869f4508c67bdd584309b6f0f0f4402c7af6fcbe8dab3a0ec,11,11,0,0,0,48,-0.669043452226,-0.833418620936,15075
R1L04_filter_atr125,atr_filter_directional_change,ca5d229762381cffa3834f0ef636ece5fac14129c9f351459a170d22fb448dc0,11,11,0,0,0,4,-0.083158375008,-0.246923748708,11601
R1L05_filter_atr15,atr_filter_directional_change,898388236cf6c4d5e60c7cf575c78b7e45bd9a29929ecb77404e1df3756f4156,11,11,0,0,0,48,-0.377468697669,-0.774995976382,9581
